# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 1. Europäischen Parlament aus der Bundesrepublik Deutschland (10. Juni 1979)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültig;Gültig;SPD;CDU;CSU;FDP;DKP;EAP;C.B.V.;Zentrum;DIE GRÜNEN
09 2 77;Rottal-Inn;76928;43950;463;43487;7019;0;34287;981;53;41;176;23;907
09 2 78;Straubing-Bogen;57543;33433;356;33077;5443;0;25694;792;53;16;369;10;700
09 2 79;Dingolfing-Landau;54553;32596;330;32266;7580;0;23127;712;50;27;144;10;616
09 3 61;Amberg, Stadt;33288;20659;165;20494;6376;0;12664;720;53;14;56;14;597
09 3 62;Regensburg, Stadt;91922;52636;336;52300;14796;0;33256;2000;147;33;110;42;1916
09 3 63;Weiden i.d. OPf., Stadt;33603;20604;169;20435;6606;0;12613;671;32;13;46;9;445
09 3 71;Amberg-Sulzbach;69277;44321;330;43991;12551;0;28906;1549;70;31;95;21;768
09 3 72;Cham;87276;46184;414;45770;7422;0;33322;713;66;45;3247;24;931
09 3 73;Neumarkt i.d. OPf.;70317;45451;519;44932;7850;0;34788;1138;69;49;137;16;885
09 3 74;Neustadt a.d. Waldnaab;67080;44339;402;43937;12557;0;29264;1297;57;33;86;26;617
09 3 75;Regensburg;96925;59672;626;59046;14210;0;41705;1413;117;46;193;40;1322
09 3 76;Schwandorf;97848;61249;684;60565;17825;0;40296;1053;147;44;194;27;979
09 3 77;Tirschenreuth;59214;40672;366;40306;10846;0;27761;942;48;37;103;5;564
09 4 61;Bamberg, Stadt;54231;33785;289;33496;9520;0;21252;1481;88;56;197;28;874
09 4 62;Bayreuth, Stadt;51889;29970;188;29782;11445;0;15509;1687;97;36;90;14;904
09 4 63;Coburg, Stadt;34197;21390;172;21218;8650;0;10397;1500;39;31;42;18;541
09 4 64;Hof, Stadt;41474;23261;203;23058;9493;0;11829;971;71;31;60;5;598
09 4 71;Bamberg;80922;52088;460;51628;11083;0;38230;1156;61;64;265;33;736
09 4 72;Bayreuth;72626;44943;378;44565;15050;0;27134;1289;74;54;174;20;770
09 4 73;Coburg;62805;40346;255;40091;17648;0;19952;1690;43;65;107;20;566
09 4 74;Forchheim;66678;41130;263;40867;9276;0;28974;1482;52;67;171;15;830
09 4 75;Hof;86966;52182;452;51730;22673;0;25825;1742;116;102;223;13;1036
09 4 76;Kronach;59210;39484;400;39084;15462;0;22003;781;59;46;160;14;559
09 4 77;Kulmbach;57645;34697;281;34416;13898;0;18470;1141;72;44;85;16;690
09 4 78;Lichtenfels;49806;31667;310;31357;8847;0;21054;807;35;39;107;9;459
09 4 79;Wunsiedel i. Fichtelgebirge;73803;46245;476;45769;21194;0;21616;1462;91;81;151;25;1149
09 5 61;Ansbach, Stadt;28661;17215;128;17087;5842;0;9370;1120;40;8;12;20;675
09 5 62;Erlangen, Stadt;66046;39254;241;39013;14685;0;18371;3852;115;115;47;41;1787
09 5 63;Fürth, Stadt;71212;40316;318;39998;18447;0;17584;2345;233;37;64;13;1275
09 5 64;Nürnberg, Stadt;353430;205694;1426;204268;88640;0;93218;12110;1151;193;226;385;8345
09 5 65;Schwabach, Stadt;24656;14839;110;14729;5686;0;7462;963;59;7;23;6;523
09 5 71;Ansbach;112 847;64647;529;64118;14801;0;43437;3527;139;67;118;34;1995
09 5 72;Erlangen-Höchstadt;66515;40216;308;39908;13133;0;23242;2252;69;79;47;21;1065
09 5 73;Fürth;65316;40420;270;40150;15586;0;20629;2356;95;39;46;19;1380
09 5 74;Nürnberger Land;105375;63028;429;62599;23460;0;33461;3396;144;53;99;46;1940
09 5 75;Neustadt a.d. Aisch-Bad Windsheim;64099;35871;316;35555;8892;0;23546;2009;70;43;56;21;918
09 5 76;Roth;70305;42139;336;41803;12155;0;26631;1753;81;30;107;25;1021
09 5 77;Weißenburg-Gunzenhausen;64037;37237;246;36991;10569;0;23839;1480;95;29;60;24;895
09 6 61;Aschaffenburg, Stadt;44172;25450;294;25156;8644;0;14306;1141;60;35;44;15;911
09 6 62;Schweinfurt, Stadt;41671;25831;259;25572;10979;0;12309;1230;65;24;32;11;922
09 6 63;Würzburg, Stadt;90125;54599;409;54190;17682;0;30741;3422;143;41;98;72;1991
09 6 71;Aschaffenburg;105417;61817;731;61086;18768;0;38496;1883;112;78;126;37;1586
09 6 72;Bad Kissingen;74640;47242;354;46888;9239;0;34714;1768;85;33;99;21;929
09 6 73;Rhön-Grabfeld;56856;38306;227;38079;7601;0;28479;1226;52;38;61;14;608
09 6 74;Haßberge;58697;36597;311;36286;9749;0;24073;1603;62;28;85;19;667
09 6 75;Kitzingen;58120;33098;244;32854;9412;0;20749;1600;45;40;60;20;928
09 6 76;Miltenberg;76994;47734;457;47277;13584;0;30522;1763;87;45;98;31;1147
09 6 77;Main-Spessart;88127;54218;469;53749;14344;0;35783;1889;103;35;127;21;1447
09 6 78;Schweinfurt;74521;47126;389;46737;10533;0;33228;1481;66;33;76;22;1298
09 6 79;Würzburg;95967;60665;535;60130;18562;0;37262;2368;131;59;121;32;1595
09 7 61;Augsburg, Stadt;175817;97167;788;96379;35494;0;52309;4454;206;91;202;68;3555
09 7 62;Kaufbeuren, Stadt;30358;17903;109;17794;4644;0;11479;1006;37;24;39;6;559
09 7 63;Kempten (Allgäu), Stadt;42909;24080;187;23893;7652;0;13533;1475;41;23;50;10;1109
09 7 64;Memmingen, Stadt;27329;15506;145;15361;5011;0;8827;845;36;18;26;9;589
09 7 71;Aichach-Friedberg;66447;37967;288;37679;7460;0;27718;1274;53;23;80;11;1060
09 7 72;Augsburg;127756;72403;484;71919;17925;0;48585;2883;101;77;189;45;2114
09 7 73;Dillingen a.d. Donau;56791;31551;289;31262;7205;0;21744;1348;43;34;89;10;789
09 7 74;Günzburg;73632;38780;372;38408;9341;0;26515;1297;61;45;112;23;1014
09 7 75;Neu-Ulm;96144;52001;416;51585;16295;0;30312;2888;99;54;124;30;1783
09 7 76;Lindau (Bodensee);49481;29851;282;29569;7214;0;19403;1652;63;26;77;21;1113
09 7 77;Ostallgäu;79546;45573;311;45262;8366;0;33378;1730;55;54;180;30;1469
09 7 78;Unterallgäu;81900;48418;352;48066;7284;0;37707;1619;60;33;175;33;1155
09 7 79;Donau-Ries;84089;49597;357;49240;11429;0;34680;1711;54;47;124;28;1167
09 7 80;Oberallgäu;89479;52375;362;52013;11053;0;36172;2383;79;55;141;21;2109
909;Bayern;7714564;4542784;35118;4507666;1314020;0;2817120;211531;10574;4825;15916;2883;130797

10 0 41;Stadtverband Saarbrücken;284103;219611;6377;213234;98056;91942;0;14984;2061;321;481;296;5093
10 0 42;Merzig-Wadern;75037;64291;2610;61681;24500;31210;0;3470;356;134;205;172;1634
10 0 43;Neunkirchen;119115;97059;3024;94035;45729;39852;0;4789;1283;149;276;111;1846
10 0 44;Saarlouis;157808;129535;3856;125679;51302;62681;0;6823;750;222;324;341;3236
10 0 45;Saarpfalz-Kreis;116567;95975;3277;92698;40332;43003;0;5581;687;194;335;256;2310
10 0 46;Sankt Wendel;70692;61463;2122;59341;24641;31075;0;1820;364;91;157;100;1093
910;Saarland;823322;667934;21266;646668;284560;299763;0;37467;5501;1111;1778;1276;15212

999;Bundesgebiet ohne Berlin;42751940;28098872;251763;27847109;11370045;10883085;2817120;1662621;112055;31822;45311;31367;893683
