# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 4. Europäischen Parlament aus der Bundesrepublik Deutschland (12. Juni 1994)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;REP;F.D.P.;ÖDP;BP;CM;LIGA;Solidarität;BSA;APD;BfB;Familie;DSU;GRAUE;NATURGESETZ;Autonome;NPD;FORUM;PBC;PASS;PDS;PEAD;STATT Partei
03 2 55;Holzminden;65398;37455;504;36951;18022;12872;2309;0;923;1441;72;33;53;23;11;10;160;298;0;19;141;67;24;88;13;49;51;157;7;108
03 2 56;Nienburg (Weser);93674;40939;620;40319;16905;15127;3695;0;1231;1612;88;36;74;17;21;6;214;377;0;25;206;66;44;86;25;53;54;185;9;163
03 2 57;Schaumburg;123777;67304;679;66625;29774;24032;5335;0;2021;2309;169;53;144;31;31;18;281;659;0;41;354;133;86;140;47;285;105;345;14;218
03 3 51;Celle;135026;70724;630;70094;22953;31858;5316;0;2558;3274;224;76;139;55;32;19;287;1371;0;43;448;153;52;172;45;313;86;338;8;274
03 3 52;Cuxhaven;153955;77495;762;76733;30808;32030;6536;0;1864;2403;148;49;62;29;17;11;266;740;0;24;366;154;49;184;36;93;84;390;12;378
03 3 53;Harburg;163680;91461;774;90687;28864;36834;11626;0;2796;4440;313;126;164;41;34;14;513;2098;0;53;593;238;81;131;62;212;98;629;12;715
03 3 54;Lüchow-Dannenberg;40617;20901;167;20734;6086;8723;3464;0;751;640;40;18;33;14;9;8;73;251;0;17;98;43;35;80;12;68;38;161;1;71
03 3 55;Lüneburg;118316;60363;583;59780;21317;22437;7822;0;1586;2622;190;66;88;32;19;11;246;1013;0;34;356;184;65;131;57;91;78;688;17;630
03 3 56;Osterholz;81121;43069;394;42675;17854;14180;5837;0;872;1863;102;35;67;10;11;6;170;323;0;18;271;141;50;90;32;140;54;368;4;177
03 3 57;Rotenburg (Wümme);114669;58926;494;58432;20825;26392;5919;0;1107;1933;107;35;104;39;39;16;272;459;0;36;189;113;72;100;30;113;55;293;9;175
03 3 58;Soltau-Fallingbostel;101536;51918;563;51355;18342;21978;4693;0;1674;1956;355;41;76;24;26;14;259;641;0;30;248;88;41;122;27;214;86;245;9;166
03 3 59;Stade;137937;70807;610;70197;27411;27951;7255;0;1505;2887;186;58;89;33;12;10;289;610;0;41;363;149;55;182;49;92;77;493;15;385
03 3 60;Uelzen;76642;41439;446;40993;15264;17486;3696;0;1132;1465;97;47;73;25;19;12;181;457;0;25;191;81;49;178;28;81;53;173;8;172
03 3 61;Verden;95286;47320;484;46836;18544;16401;6398;0;1059;2168;110;29;55;22;13;10;219;512;0;18;224;122;58;70;24;167;73;313;4;223
03 4 01;Delmenhorst, Stadt;58978;27117;331;26786;12314;8902;2371;0;796;1052;70;22;25;7;6;5;139;214;0;11;243;66;24;49;15;28;36;271;2;118
03 4 02;Emden, Stadt;39855;18869;296;18573;10848;4258;1688;0;385;607;29;9;31;13;4;7;75;122;0;2;101;21;38;30;9;41;22;156;3;74
03 4 03;Oldenburg (Oldenburg), Stadt;116954;59509;498;59011;23443;17649;10522;0;930;3182;154;36;72;22;16;13;168;568;0;28;421;157;118;91;66;80;76;973;8;218
03 4 04;Osnabrück, Stadt;123510;68220;539;67681;24584;27270;9040;0;1164;2728;161;42;104;18;16;11;233;571;0;30;337;147;56;89;81;84;104;630;16;165
03 4 05;Wilhelmshaven, Stadt;71643;34959;460;34499;16500;11373;2862;0;1007;1210;50;25;37;12;12;13;133;338;0;24;244;68;31;38;11;26;77;264;3;141
03 4 51;Ammerland;78550;36584;398;36186;15043;13130;3554;0;632;2465;77;22;40;11;10;5;134;299;0;11;155;94;31;57;20;44;29;198;2;123
03 4 52;Aurich;137867;69563;1182;68381;39388;18156;5350;0;1073;2082;101;36;94;27;23;15;171;310;0;26;218;120;161;87;30;196;72;364;9;272
03 4 53;Cloppenburg;97207;45108;910;44198;10787;27530;2442;0;567;1398;78;41;126;40;13;18;117;295;0;22;140;97;30;43;14;38;41;138;11;172
03 4 54;Emsland;205685;108984;1273;107711;27402;67240;5906;0;1272;2887;226;62;250;53;33;25;299;519;0;56;278;153;113;88;43;79;123;273;12;319
03 4 55;Friesland;75986;36465;517;35948;17139;11697;3153;0;759;1825;84;26;49;14;16;12;119;287;0;13;159;68;30;58;26;42;48;194;3;127
03 4 56;Grafschaft Bentheim;89892;44609;512;44097;17223;19860;3174;0;521;1658;395;26;103;24;5;10;134;230;0;19;127;69;38;72;17;79;53;146;2;112
03 4 57;Leer;115717;56769;714;56055;28753;18444;4061;0;947;1486;192;21;136;24;15;17;180;323;0;15;231;120;50;73;29;398;55;288;13;184
03 4 58;Oldenburg;85063;41225;403;40822;16211;14813;4434;0;896;2730;84;32;51;19;12;7;188;347;0;19;187;106;27;52;19;56;44;260;5;223
03 4 59;Osnabrück;245807;140743;1567;139176;49188;66547;11971;0;2053;4869;287;94;240;73;48;37;551;778;0;69;515;363;119;160;80;190;136;466;31;311
03 4 60;Vechta;80941;43500;674;42826;9315;26560;2491;0;471;1756;130;36;141;38;17;7;131;1122;0;20;114;76;34;27;12;46;40;114;4;124
03 4 61;Wesermarsch;71214;33144;410;32734;16793;9452;2835;0;617;1840;110;16;42;8;9;4;105;171;0;18;190;72;36;55;13;27;40;175;12;94
03 4 62;Wittmund;41893;18337;247;18090;8096;7037;1305;0;311;687;36;17;20;7;2;7;75;124;0;11;71;37;23;30;5;18;22;83;6;60
903;Niedersachsen;5881254;3097207;33567;3063640;1214706;1216259;298780;0;74279;119555;8354;2629;4931;1374;1091;693;12191;29491;0;1781;16515;6277;3472;5563;2157;6825;3727;21240;530;11220

04 0 11;Bremen, Stadt;414605;222546;2500;220046;87673;60733;37604;0;6251;10284;403;157;332;95;113;114;1093;2131;0;204;2942;786;544;588;288;493;392;5048;48;1730
04 0 12;Bremerhaven, Stadt;96850;47122;689;46433;20838;13790;5162;0;1749;1874;109;34;52;26;16;29;220;472;0;92;598;158;59;134;35;49;132;471;9;325
904;Bremen;511455;269668;3189;266479;108511;74523;42766;0;8000;12158;512;191;384;121;129;143;1313;2603;0;296;3540;944;603;722;323;542;524;5519;57;2055

05 1 11;Düsseldorf, Stadt;423632;239475;1883;237592;87122;84207;33804;0;6863;12371;590;247;345;96;189;29;797;2284;0;89;3135;496;360;415;185;243;298;2284;99;1044
