# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 4. Europäischen Parlament aus der Bundesrepublik Deutschland (12. Juni 1994)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;REP;F.D.P.;ÖDP;BP;CM;LIGA;Solidarität;BSA;APD;BfB;Familie;DSU;GRAUE;NATURGESETZ;Autonome;NPD;FORUM;PBC;PASS;PDS;PEAD;STATT Partei
07 1 11;Koblenz, Stadt;85654;58715;1502;57213;21395;24572;5611;0;1206;1863;236;51;121;15;20;12;221;662;0;27;360;88;40;70;33;107;56;272;12;163
07 1 31;Ahrweiler;93057;69325;1982;67343;18972;35069;5380;0;1353;2906;1083;86;177;54;36;25;328;568;0;29;374;141;75;86;44;63;67;202;13;212
07 1 32;Altenkirchen(Westerwald);99768;75352;2067;73285;28981;31357;5141;0;1740;3026;221;74;204;65;30;14;339;427;0;21;365;130;51;80;31;423;107;226;19;213
07 1 33;Bad Kreuznach;117973;87507;2695;84812;36166;30257;7786;0;2764;4011;479;82;149;49;46;12;403;570;0;27;476;216;67;223;64;136;117;276;11;425
07 1 34;Birkenfeld;71003;49867;1559;48308;21531;16872;3482;0;1902;2456;221;42;50;27;21;10;306;359;0;23;249;126;40;98;21;64;88;150;7;163
07 1 35;Cochem-Zell;51272;41687;1795;39892;10758;23448;2461;0;910;1019;142;42;104;37;8;7;189;212;0;19;154;69;11;46;11;37;31;69;6;102
07 1 37;Mayen-Koblenz;155442;116004;3169;112835;43605;51445;8513;0;2096;3308;482;101;151;75;38;16;486;778;0;29;472;174;67;109;65;164;103;254;13;291
07 1 38;Neuwied;131885;95207;2368;92839;37232;38661;7407;0;2023;3402;692;89;166;51;39;19;467;673;0;37;547;144;65;129;60;266;78;287;13;292
07 1 40;Rhein-Hunsrück-Kreis;77475;60470;1948;58522;20914;25536;4864;0;1460;3255;279;68;154;59;22;8;313;452;0;25;253;131;24;93;34;148;77;167;7;179
07 1 41;Rhein-Lahn-Kreis;97395;72642;2058;70584;31941;25186;5558;0;2059;2675;298;76;109;48;29;7;421;617;0;17;429;171;44;127;41;155;60;243;12;261
07 1 43;Westerwaldkreis;142950;108947;3279;105668;39762;46854;8101;0;2853;3563;323;132;251;77;57;21;726;718;0;33;608;246;61;140;68;332;114;310;14;304
07 2 11;Trier, Stadt;77082;49436;1099;48337;17517;19952;5989;0;1039;1687;315;39;116;24;18;9;158;343;0;10;300;79;54;55;44;42;48;325;4;170
07 2 31;Bernkastel-Wittlich;87805;66812;3105;63707;20111;31185;5141;0;1808;2908;261;67;156;47;39;13;349;389;0;30;373;168;56;92;26;51;75;172;11;179
07 2 32;Bitburg-Prüm;73195;56724;2801;53923;18184;26948;3787;0;1034;1848;396;39;171;56;20;16;268;262;0;27;295;121;23;60;24;43;62;111;8;120
07 2 33;Daun;47981;37266;1500;35766;10363;19784;2519;0;688;1022;156;43;85;42;13;10;201;191;0;16;223;66;15;40;18;36;34;82;9;110
07 2 35;Trier-Saarburg;103015;82198;3691;78507;29715;35411;6231;0;1836;2349;436;86;169;45;31;24;368;417;0;25;371;160;39;102;28;63;96;263;11;231
07 3 11;Frankenthal (Pfalz), Stadt;34581;23728;597;23131;8958;8977;1800;0;1387;830;88;28;51;24;14;11;144;249;0;12;101;76;9;41;22;74;29;116;9;81
07 3 12;Kaiserslautern, Stadt;76593;48914;1324;47590;19440;16342;4681;0;2388;1995;410;63;85;53;34;19;283;442;0;32;296;122;41;122;54;106;100;290;9;183
07 3 13;Landau in der Pfalz, Stadt;29897;21754;548;21206;7965;8087;2405;0;852;813;197;12;43;17;8;2;121;123;0;6;104;59;20;66;23;87;38;90;8;60
07 3 14;Ludwigshafen am Rhein, Stadt;113298;74468;1599;72869;31081;25407;6095;0;4340;2086;315;70;136;39;56;24;390;704;0;45;534;206;70;138;76;156;118;457;24;302
07 3 15;Mainz, Stadt;130589;90262;1940;88322;28689;33160;12002;0;3735;4989;1177;91;201;60;49;24;387;1206;0;67;602;175;106;99;124;108;105;807;15;344
07 3 16;Neustadt an der Weinstraße, Stadt;41677;30510;833;29677;9435;13147;2873;0;1175;1312;584;19;72;22;11;6;138;244;0;8;148;63;19;75;25;57;38;119;6;81
07 3 17;Pirmasens, Stadt;39207;25434;907;24527;10412;8899;2043;0;1327;683;136;30;57;16;9;5;132;211;0;11;143;52;21;72;5;32;47;82;8;94
07 3 18;Speyer, Stadt;35967;25038;607;24431;9067;9154;2533;0;1210;879;460;33;38;17;14;8;139;229;0;13;137;65;33;38;25;93;24;138;4;80
07 3 19;Worms, Stadt;59414;38575;995;37580;15377;13253;3526;0;2397;1349;183;44;79;41;10;12;157;235;0;22;186;108;24;98;23;116;50;162;16;112
07 3 20;Zweibrücken, Stadt;28023;18572;482;18090;8380;5505;1153;0;809;895;508;18;31;22;16;13;139;164;0;13;86;42;23;52;7;19;34;91;0;70
07 3 31;Alzey-Worms;85055;66821;2372;64449;27710;20440;6551;0;3467;3285;287;88;109;44;30;16;430;464;0;30;299;190;48;227;41;136;89;215;19;234
07 3 32;Bad Dürkheim;99559;77022;2255;74767;28849;27888;6922;0;3817;3653;628;73;151;65;38;17;457;492;0;18;349;213;50;199;46;203;105;252;14;268
07 3 33;Donnersbergkreis;56336;43615;1633;41982;19791;12367;3684;0;2095;2107;279;60;78;36;25;13;242;279;0;25;193;107;21;175;22;83;70;117;2;111
07 3 34;Germersheim;83972;64860;1945;62915;22034;26613;5160;0;3297;2307;1198;52;144;53;26;16;323;414;0;31;226;184;42;116;39;206;87;173;14;160
07 3 35;Kaiserslautern;81110;63757;2223;61534;25508;23471;4398;0;3469;1953;321;101;125;31;22;16;460;369;0;20;276;162;38;163;32;162;116;134;16;171
07 3 36;Kusel;62114;47518;1678;45840;24271;12052;3335;0;2935;1379;186;44;62;28;16;12;287;309;0;5;190;108;23;142;21;87;79;134;4;131
07 3 37;Südliche Weinstraße;81062;65648;2388;63260;21693;27049;5858;0;2582;2753;499;85;256;53;40;15;383;404;0;31;287;177;62;293;33;242;104;167;20;174
07 3 38;Ludwigshafen;108122;84852;2304;82548;30669;33155;7092;0;4306;3432;584;111;165;57;28;17;487;709;0;17;392;202;54;136;74;189;105;268;20;279
07 3 39;Mainz-Bingen;139472;107523;3194;104329;38904;38972;11859;0;3703;5507;731;123;209;58;67;23;686;919;0;69;564;275;93;215;88;171;127;557;16;393
07 3 40;Pirmasens;81932;67165;2986;64179;22854;27493;4757;0;3436;2479;480;91;187;67;36;37;509;416;0;23;283;202;41;188;27;131;154;116;18;154
907;Rheinland-Pfalz;2980932;2214195;69428;2144767;818234;873968;186698;0;79498;85984;15271;2353;4612;1574;1016;529;11837;16220;0;893;11245;5018;1570;4205;1419;4588;2832;7894;412;6897

08 1 11;Stuttgart, Landeshauptstadt;375099;241831;6236;235595;62710;83118;41131;0;16734;15569;2811;279;376;276;264;46;1243;2479;0;60;1842;644;258;285;297;795;264;2173;76;1865
08 1 15;Böblingen;234530;159621;5443;154178;37802;62611;23942;0;9366;8866;1415;258;502;408;69;27;1211;1542;0;57;1003;490;146;331;142;1134;183;712;28;1933
08 1 16;Esslingen;338428;232038;7748;224290;58952;88938;31627;0;16585;12567;2213;356;561;447;88;58;1575;2105;0;78;1265;685;196;354;190;1497;227;1072;82;2572
08 1 17;Göppingen;176513;116126;5905;110221;32177;43555;12371;0;7982;6098;1943;176;278;222;59;20;716;1125;0;25;683;374;109;285;71;605;138;439;27;743
08 1 18;Ludwigsburg;330825;226363;8642;217721;58410;83551;31511;0;15770;12232;1771;310;499;375;77;37;1416;2384;0;68;1510;682;209;432;192;1987;257;1093;66;2882
08 1 19;Rems-Murr-Kreis;277073;180555;7206;173349;45059;66041;21705;0;13463;12038;4262;278;463;378;109;42;1187;1643;0;66;1090;471;129;369;139;2386;164;751;38;1078
08 1 21;Heilbronn, Stadt;81095;50832;2148;48684;15767;17157;5387;0;4759;2541;290;64;97;64;13;6;320;719;0;14;333;134;44;76;33;186;51;281;13;335
08 1 25;Heilbronn;207469;143230;8128;135102;39720;51806;15063;0;11054;7575;1951;170;349;317;50;28;1024;1674;0;38;749;378;86;340;96;1077;108;525;19;905
08 1 26;Hohenlohekreis;72525;48528;2353;46175;11571;19657;5397;0;3280;2885;646;81;162;107;32;9;349;466;0;18;229;207;28;160;45;279;56;181;15;315
08 1 27;Schwäbisch Hall;127794;81913;3741;78172;21546;32874;9090;0;4228;4351;1798;142;233;224;37;18;458;587;0;23;346;204;104;288;92;696;104;309;17;403
08 1 28;Main-Tauber-Kreis;100454;72033;3996;68037;15619;33988;6471;0;4534;2611;1057;128;333;122;59;16;449;728;0;31;335;224;39;178;48;368;105;205;13;376
08 1 35;Heidenheim;95958;63602;3723;59879;18820;22567;6892;0;5664;2123;997;74;110;100;18;8;300;416;0;34;266;155;38;60;39;607;43;292;13;243
08 1 36;Ostalbkreis;220312;147688;8544;139144;38294;64525;15318;0;7993;5400;1464;205;346;291;49;29;709;976;0;50;585;412;103;206;62;585;142;428;27;945
08 2 11;Baden-Baden, Stadt;39631;24614;965;23649;5433;10598;3235;0;996;1698;179;31;28;55;14;7;136;415;0;7;203;87;16;55;23;73;29;143;5;183
08 2 12;Karlsruhe, Stadt;204701;115343;3607;111736;35141;41603;17584;0;4206;6008;1364;91;128;152;31;15;379;1318;0;33;559;210;133;300;134;414;121;926;31;855
08 2 15;Karlsruhe;291787;199982;11721;188261;53183;84207;21161;0;10514;7806;1508;213;540;417;74;28;1178;1856;0;44;927;521;145;456;141;1299;198;617;44;1184
08 2 16;Rastatt;158489;105707;7211;98496;26288;47172;10097;0;5507;4059;769;117;200;213;43;26;641;997;0;30;432;304;51;222;55;237;130;308;16;582
08 2 21;Heidelberg, Stadt;95953;63884;2083;61801;16712;21381;13516;0;2508;3348;492;46;74;57;29;12;232;823;0;20;320;147;67;85;106;161;67;1009;22;567
08 2 22;Mannheim, Universitätsstadt;208190;121780;5655;116125;41762;40120;15109;0;7579;4182;449;123;119;132;41;20;547;1368;0;44;731;257;122;296;82;258;151;1157;24;1452
08 2 25;Neckar-Odenwald-Kreis;105009;74479;4432;70047;18777;33267;5931;0;3832;2429;1022;73;175;132;18;11;439;2204;0;19;292;169;42;187;25;342;64;209;14;374
08 2 26;Rhein-Neckar-Kreis;371104;261615;13788;247827;77006;101132;31041;0;12146;11814;1523;248;391;397;89;51;1425;3211;0;74;1178;583;177;1109;163;697;305;1253;42;1772
08 2 31;Pforzheim, Stadt;80321;45806;1863;43943;11536;17733;4824;0;4102;2412;287;68;80;123;31;11;339;717;0;9;337;134;55;83;38;252;47;235;11;479
08 2 35;Calw;105638;71277;3229;68048;15850;30111;7712;0;4845;3704;596;94;298;473;16;11;496;791;0;26;473;218;46;190;55;1176;101;271;17;478
08 2 36;Enzkreis;130803;88409;4450;83959;24014;31425;10453;0;6964;4646;680;116;278;265;43;17;734;967;0;20;520;288;83;167;68;1046;98;319;16;732
08 2 37;Freudenstadt;82948;54913;2431;52482;12851;24694;4946;0;3277;2563;694;78;232;128;7;12;344;453;0;20;312;178;19;109;41;984;72;177;15;276
08 3 11;Freiburg im Breisgau, Stadt;138409;88237;2860;85377;21134;25716;24749;0;3103;4008;1833;85;102;107;22;31;325;624;0;23;587;219;277;81;175;344;141;1059;21;611
08 3 15;Breisgau-Hochschwarzwald;166569;116380;6289;110091;26715;46668;18576;0;4071;6750;1959;116;294;208;41;19;615;780;0;22;705;381;104;113;102;626;101;442;26;657
08 3 16;Emmendingen;107899;73345;4389;68956;20401;27647;10590;0;2616;3508;750;66;261;152;16;15;386;403;0;27;407;217;69;118;42;356;55;286;16;552
08 3 17;Ortenaukreis;288997;190681;13752;176929;46918;83006;20597;0;7588;7427;1569;210;733;354;75;29;911;2376;0;58;862;635;133;285;134;826;213;660;40;1290
08 3 25;Rottweil;100302;66978;4292;62686;15048;30022;5094;0;3439;3023;2449;113;235;214;19;9;436;434;0;22;386;219;58;214;64;473;94;244;16;361
08 3 26;Schwarzwald-Baar-Kreis;147989;92941;5085;87856;22472;39615;10449;0;3882;5457;970;108;300;327;26;27;595;612;0;95;613;238;98;322;64;505;110;311;30;630
08 3 27;Tuttlingen;89901;63260;4044;59216;13400;29302;6005;0;3191;3380;721;98;143;204;19;7;396;499;0;26;299;181;41;301;48;299;90;181;10;375
08 3 35;Konstanz;182583;113991;5915;108076;27478;46744;16373;0;3888;6336;815;164;234;232;42;44;773;998;0;45;682;354;130;260;122;471;171;595;32;1093
08 3 36;Lörrach;150246;93335;4358;88977;28189;33480;12520;0;3656;4912;709;127;251;185;39;24;510;561;0;15;723;367;131;195;152;887;122;538;22;662
08 3 37;Waldshut;113750;75123;4094;71029;17161;33723;8493;0;2737;3620;1727;104;173;137;21;23;523;461;0;21;405;233;58;110;49;457;89;301;21;382
08 4 15;Reutlingen;187467;126538;5118;121420;30388;50578;15533;0;7952;7083;1023;207;462;656;48;26;872;2156;0;39;799;407;109;248;125;1081;154;601;28;845
08 4 16;Tübingen;134569;93836;2897;90939;23677;32377;17562;0;4785;5147;928;111;281;262;35;30;707;1317;0;26;566;325;170;129;176;815;121;884;16;492
08 4 17;Zollernalbkreis;137006;87077;4634;82443;20820;38872;7506;0;4952;4350;733;135;207;249;34;16;581;1347;0;31;476;303;60;273;62;433;144;232;24;603
08 4 21;Ulm, Universitätsstadt;77474;50187;1425;48762;14691;18093;7042;0;2836;2646;538;77;85;70;20;9;274;721;0;16;355;256;54;77;41;198;71;312;16;264
08 4 25;Alb-Donau-Kreis;125297;91639;4118;87521;20780;43143;8794;0;5168;3705;1455;108;279;265;31;14;511;733;0;37;400;253;62;186;57;737;117;228;15;443
08 4 26;Biberach;124744;88722;3935;84787;14134;47526;8166;0;5509;2669;2206;141;397;344;42;18;505;803;0;31;398;336;76;267;41;372;87;187;15;517
08 4 35;Bodenseekreis;137377;92011;4413;87598;18960;40403;11577;0;3946;4761;2580;147;282;271;42;15;551;1058;0;42;466;275;90;253;85;358;137;352;32;915
08 4 36;Ravensburg;183874;122662;4918;117744;22144;58138;13303;0;6412;4604;6356;217;383;668;37;18;766;1150;0;54;561;416;123;201;82;576;162;388;24;961
08 4 37;Sigmaringen;90408;63630;3246;60384;10966;33609;5998;0;3346;2293;988;110;206;220;33;14;379;580;0;20;345;194;26;140;31;245;88;192;11;350
908;Baden-Württemberg;7197510;4782742;225030;4557712;1210476;1912493;600441;0;270965;235204;62490;6263;12160;11000;2002;953;28463;49577;0;1558;26555;13965;4314;10396;4029;29200;5492;23078;1106;35532

09 1 61;Ingolstadt, Stadt;78491;41086;404;40682;9710;0;3016;20425;3574;1062;595;550;56;51;14;9;194;535;0;33;143;119;23;50;27;78;48;219;5;146
09 1 62;München, Landeshauptstadt;850746;502961;4190;498771;142792;0;67948;189511;29573;24372;6119;6491;344;413;228;93;3718;13694;0;162;2717;1259;444;450;618;794;599;3930;111;2391
09 1 63;Rosenheim, Stadt;40976;21617;255;21362;3762;0;1950;9339;2488;664;427;623;35;55;13;4;98;1282;0;6;151;81;46;32;22;61;46;71;11;95
09 1 71;Altötting;77819;45494;433;45061;8417;0;2489;25627;3311;1116;1114;1383;97;62;40;8;169;519;0;27;169;125;31;26;19;27;58;91;10;126
09 1 72;Berchtesgadener Land;72000;40766;354;40412;6482;0;3099;22308;3702;1047;1078;849;89;175;11;8;134;778;0;12;128;80;27;59;21;101;46;84;9;85
09 1 73;Bad Tölz-Wolfratshausen;80480;48536;382;48154;6868;0;4271;25348;3111;1679;850;1571;60;56;7;7;238;3225;0;17;191;153;30;36;32;63;52;119;7;163
09 1 74;Dachau;86169;49510;422;49088;9047;0;3944;23964;4574;1590;1642;1033;70;64;17;10;405;1739;0;26;211;123;27;30;29;81;64;139;17;242
09 1 75;Ebersberg;79388;47897;371;47526;9205;0;5100;23158;2302;2195;983;1113;58;64;25;3;348;1986;0;14;215;134;43;30;43;68;55;171;8;205
09 1 76;Eichstätt;79480;48830;405;48425;11129;0;2740;27306;3214;931;841;814;98;109;8;7;198;377;0;13;101;127;28;47;14;43;45;112;4;119
09 1 77;Erding;73663;40928;351;40577;6595;0;3051;20988;3320;1102;1532;1228;74;103;21;5;227;1639;0;12;131;93;36;18;15;35;39;156;7;150
09 1 78;Freising;96258;52889;368;52521;9511;0;6076;25339;3265;1884;1625;1190;56;75;16;6;383;1904;0;18;231;123;35;115;48;104;52;240;13;212
09 1 79;Fürstenfeldbruck;138480;84237;645;83592;18098;0;9573;37550;4913;4041;1740;1641;81;82;25;11;599;3336;0;29;440;232;63;52;83;142;113;295;28;425
09 1 80;Garmisch-Partenkirchen;63913;36526;308;36218;3930;0;2409;20778;2064;1174;1466;784;64;57;47;3;159;2696;0;27;151;110;16;30;21;40;27;76;6;83
09 1 81;Landsberg a. Lech;71025;38882;302;38580;6802;0;4039;19840;1937;1482;992;1425;82;89;9;5;190;890;0;15;158;103;20;27;31;78;40;113;10;203
09 1 82;Miesbach;65853;38549;307;38242;5705;0;2813;20668;2334;1287;512;936;52;51;10;3;164;3035;0;23;134;103;17;39;31;41;38;92;8;146
09 1 83;Mühldorf a. Inn;77377;42559;429;42130;6322;0;2227;23752;3537;970;762;1601;124;77;32;4;237;1817;0;19;146;85;30;29;15;44;65;75;5;155
09 1 84;München;202109;124740;754;123986;27542;0;14637;54065;6277;8253;2766;1886;117;159;47;9;888;4648;0;39;578;318;81;97;120;192;138;481;24;624
09 1 85;Neuburg-Schrobenhausen;62808;34161;320;33841;7163;0;1954;19316;2472;773;486;621;47;32;10;1;158;323;0;17;101;56;30;32;10;36;34;65;9;95
09 1 86;Pfaffenhofen a.d. Ilm;75164;42793;336;42457;8700;0;2810;22584;3654;1117;1106;882;45;52;9;6;230;575;0;20;125;92;37;45;16;56;47;102;8;139
09 1 87;Rosenheim;160105;92841;835;92006;13440;0;7271;46690;8323;2817;2118;3449;176;177;33;15;431;5222;0;27;449;288;62;86;64;167;112;207;19;363
09 1 88;Starnberg;88643;55283;356;54927;9662;0;7039;25388;2315;4368;1110;935;41;57;21;3;261;2647;0;19;200;175;38;52;56;57;58;183;13;229
09 1 89;Traunstein;120430;70137;620;69517;12433;0;5640;37274;4899;1799;1885;2621;138;266;11;7;269;1112;0;26;242;169;43;65;27;84;83;217;16;191
09 1 90;Weilheim-Schongau;87648;50699;513;50186;9063;0;4127;24740;3057;1392;1178;1610;84;107;11;4;264;3559;0;10;213;138;44;56;35;101;61;123;16;193
09 2 61;Landshut, Stadt;45927;24984;262;24722;5320;0;2221;12777;1668;757;571;344;38;29;9;1;105;358;0;8;170;70;16;31;8;34;31;76;5;75
09 2 62;Passau, Stadt;39289;20151;131;20020;4353;0;1679;10004;1014;957;763;246;31;14;3;3;65;526;0;2;70;44;31;16;20;24;31;66;6;52
09 2 63;Straubing, Stadt;33481;16648;144;16504;3423;0;656;9151;1263;346;844;254;11;17;7;3;67;190;0;4;69;30;11;17;9;20;21;53;0;38
09 2 71;Deggendorf;83189;40095;333;39762;7856;0;2025;22497;3574;805;784;867;58;30;20;8;189;399;0;19;135;83;12;45;15;117;48;78;8;90
09 2 72;Freyung-Grafenau;62011;26835;224;26611;6085;0;1107;14469;2147;484;755;714;48;40;4;8;100;296;0;9;102;70;8;18;6;26;49;25;1;40
09 2 73;Kelheim;74901;39131;290;38841;9486;0;2110;20183;3715;821;841;655;78;34;6;3;125;245;0;19;119;59;19;52;11;33;43;88;4;92
09 2 74;Landshut;96909;52313;445;51868;9747;0;3363;28274;4317;1482;1602;1276;70;66;15;6;272;551;0;19;180;128;33;53;19;94;42;119;11;129
09 2 75;Passau;134433;63044;582;62462;13526;0;2879;34541;4710;1343;2014;1246;170;61;9;13;215;940;0;29;161;126;27;97;16;38;73;95;9;124
09 2 76;Regen;62454;28961;228;28733;6137;0;1297;15432;3331;435;649;668;35;31;3;6;101;233;0;18;100;65;23;14;3;44;24;38;5;41
09 2 77;Rottal-Inn;86182;40651;375;40276;6929;0;1681;23622;3404;835;1261;1146;141;53;17;9;163;442;0;29;110;74;20;70;11;44;37;97;11;70
09 2 78;Straubing-Bogen;66955;38212;402;37810;6520;0;1218;22202;2969;794;2183;1013;37;21;8;7;151;274;0;10;101;45;11;56;6;38;28;56;5;57
09 2 79;Dingolfing-Landau;63194;34469;336;34133;7165;0;1482;19210;2689;637;1287;732;42;38;12;8;154;243;0;13;95;56;25;45;14;43;27;54;4;58
09 3 61;Amberg, Stadt;33564;18439;162;18277;5117;0;1272;8923;1170;472;341;233;34;28;7;8;81;173;0;11;114;56;9;16;4;50;38;64;2;54
09 3 62;Regensburg, Stadt;95920;53727;388;53339;12906;0;5206;26254;3133;1446;1478;834;55;30;20;14;180;489;0;38;273;162;56;51;37;70;42;424;6;135
09 3 63;Weiden i.d. OPf., Stadt;34457;18948;230;18718;5570;0;1052;9264;1021;484;337;232;16;26;14;5;96;159;0;18;72;49;13;18;14;66;33;76;3;80
09 3 71;Amberg-Sulzbach;78932;46050;501;45549;13252;0;2492;22748;2948;991;925;717;113;58;26;15;217;279;0;41;146;102;30;39;12;115;67;102;4;110
09 3 72;Cham;97403;47150;604;46546;9290;0;1893;27044;4248;795;1095;806;88;59;19;13;188;325;0;21;149;154;26;34;10;101;46;69;9;64
09 3 73;Neumarkt i.d. OPf.;86819;51201;458;50743;9544;0;2771;31114;3020;1062;841;803;79;66;15;4;230;385;0;24;142;116;33;111;23;80;53;102;11;114
09 3 74;Neustadt a.d. Waldnaab;74251;43231;527;42704;12340;0;1687;22702;2530;872;756;575;86;49;16;5;180;259;0;21;119;60;27;55;15;97;51;85;5;112
09 3 75;Regensburg;123530;72224;683;71541;18078;0;4210;36397;5304;1645;2106;1574;105;70;84;14;349;522;0;30;236;183;41;69;14;91;58;185;5;171
09 3 76;Schwandorf;107951;59744;705;59039;18067;0;2632;28913;4383;934;1505;865;98;58;24;22;275;439;0;39;166;120;59;46;21;88;47;134;7;97
09 3 77;Tirschenreuth;62397;36693;427;36266;9829;0;1414;20300;1890;724;563;507;66;59;6;3;170;240;0;24;110;72;14;57;17;33;34;49;4;81
09 4 61;Bamberg, Stadt;54432;27558;161;27397;5993;0;3284;13197;1362;1002;817;368;69;38;5;2;112;460;0;7;173;58;26;27;19;44;57;170;13;94
09 4 62;Bayreuth, Stadt;57153;28679;211;28468;8714;0;3263;11805;1326;1303;612;211;46;38;4;7;77;289;0;21;134;52;30;63;26;146;38;141;5;117
09 4 63;Coburg, Stadt;34098;19074;141;18933;6247;0;1897;8091;815;768;259;107;15;13;7;3;80;187;0;4;64;23;18;43;22;48;27;122;3;70
09 4 64;Hof, Stadt;40052;19470;177;19293;6352;0;1070;8906;1276;420;177;138;49;22;4;1;89;295;0;5;75;42;6;34;14;177;17;70;2;52
09 4 71;Bamberg;100633;57254;534;56720;11379;0;3901;31989;3623;1366;1246;1002;140;73;14;8;371;529;0;21;212;153;53;59;30;146;96;119;11;179
09 4 72;Bayreuth;81832;46801;478;46323;13744;0;2861;22787;3016;1179;760;480;76;60;11;5;187;392;0;23;157;85;24;67;22;99;55;108;5;120
09 4 73;Coburg;68591;41945;390;41555;15461;0;2966;18064;1984;1110;402;340;39;24;12;12;158;312;0;12;104;82;23;82;26;61;50;125;4;102
09 4 74;Forchheim;80585;48519;456;48063;10369;0;3704;25571;3824;1424;831;554;91;85;10;3;253;394;0;11;153;101;34;50;31;202;54;146;11;157
09 4 75;Hof;86922;48939;508;48431;17325;0;2329;22278;2662;905;510;421;99;46;7;6;258;409;0;20;159;73;23;56;41;465;71;175;5;88
09 4 76;Kronach;60948;36678;424;36254;13307;0;1604;17910;1661;549;223;183;37;30;6;4;109;191;0;10;55;39;21;29;12;79;37;79;7;72
09 4 77;Kulmbach;61266;34448;272;34176;11737;0;2248;15002;2465;783;468;288;50;35;6;5;154;261;0;15;119;41;31;64;22;144;37;138;2;61
09 4 78;Lichtenfels;53508;29166;272;28894;7963;0;1900;15633;1234;605;369;336;66;32;4;2;113;214;0;11;50;63;19;51;14;66;29;46;3;71
09 4 79;Wunsiedel i. Fichtelgebirge;70936;39179;415;38764;14654;0;2066;16872;2236;739;394;460;61;23;9;7;153;316;0;14;147;81;31;71;19;109;61;126;9;106
09 5 61;Ansbach, Stadt;30050;16031;141;15890;4429;0;1344;7227;820;466;791;97;35;12;4;2;72;190;0;17;98;36;18;26;10;60;19;55;4;58
09 5 62;Erlangen, Stadt;73734;44844;263;44581;12186;0;6740;17473;1817;2675;1156;232;78;38;17;8;166;504;0;17;307;90;71;71;84;186;89;346;13;217
09 5 63;Fürth, Stadt;77637;40507;482;40025;12666;0;4499;15038;3424;1396;540;243;80;36;21;6;231;464;0;38;265;97;45;85;46;143;65;291;16;290
09 5 64;Nürnberg, Stadt;356845;204510;1991;202519;61044;0;23734;80709;14640;6668;2292;1265;392;119;159;43;1146;2889;0;123;1683;555;237;626;197;598;438;1753;59;1150
09 5 65;Schwabach, Stadt;28274;15583;125;15458;4383;0;1767;6663;1013;559;193;128;35;15;5;1;78;160;0;6;97;31;13;21;9;58;16;85;6;116
09 5 71;Ansbach;128954;73342;734;72608;16811;0;5714;36554;4958;2144;2651;686;304;93;23;13;416;517;0;51;270;133;66;215;42;363;95;226;10;253
09 5 72;Erlangen-Höchstadt;89814;55083;451;54632;14367;0;5863;24577;3242;2619;1142;432;99;49;14;9;321;500;0;25;234;113;46;157;47;167;82;226;13;288
09 5 73;Fürth;81143;48545;364;48181;14841;0;4584;20151;3377;1751;791;376;121;34;22;9;288;538;0;21;204;118;38;117;36;213;71;185;7;288
09 5 74;Nürnberger Land;123951;72880;539;72341;21784;0;7035;31119;4933;2525;961;618;126;57;25;15;396;837;0;29;372;184;52;200;48;305;102;260;21;337
09 5 75;Neustadt a.d. Aisch-Bad Windsheim;70611;39752;377;39375;9738;0;2887;19517;2872;1262;1198;347;133;28;8;11;170;288;0;20;144;90;28;131;23;171;56;113;6;134
09 5 76;Roth;87825;50063;390;49673;13111;0;4009;25196;2764;1315;736;483;116;46;15;6;283;419;0;26;239;144;37;66;28;129;72;157;13;263
09 5 77;Weißenburg-Gunzenhausen;69959;40161;393;39768;10024;0;2858;20762;2547;987;958;313;113;53;13;4;157;239;0;18;124;110;24;55;26;116;52;106;6;103
09 6 61;Aschaffenburg, Stadt;48019;23301;249;23052;5802;0;2464;10850;1599;719;308;154;46;37;6;2;102;249;0;16;142;75;52;45;19;37;25;169;6;128
09 6 62;Schweinfurt, Stadt;41164;23701;255;23446;7701;0;1680;10549;1454;624;337;143;37;21;8;7;95;242;0;20;116;43;22;49;23;42;39;107;5;82
09 6 63;Würzburg, Stadt;96951;54957;471;54486;12860;0;8195;23089;2996;2485;1482;314;93;80;19;9;265;814;0;36;459;115;58;53;75;248;94;384;9;254
09 6 71;Aschaffenburg;124472;67834;857;66977;16789;0;6030;33655;3871;2017;1220;528;166;123;38;15;390;552;0;62;256;221;75;84;30;64;97;284;9;401
09 6 72;Bad Kissingen;83524;49174;539;48635;9526;0;3227;28745;2613;1298;687;419;140;49;15;17;268;707;0;52;175;110;29;69;25;124;69;124;16;131
09 6 73;Rhön-Grabfeld;63652;37383;319;37064;6690;0;2621;23192;1738;853;436;280;109;46;11;5;167;272;0;34;127;78;35;46;9;61;47;107;10;90
09 6 74;Haßberge;65507;39791;407;39384;10025;0;2553;20906;2161;1250;740;380;95;59;9;8;185;281;0;37;113;68;40;61;20;76;62;126;8;121
09 6 75;Kitzingen;64163;36336;411;35925;8256;0;2776;18065;2645;1208;1116;347;92;70;17;9;187;309;0;32;146;75;35;109;24;169;44;73;7;114
