# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 3. Europäischen Parlament aus der Bundesrepublik Deutschland (18. Juni 1989)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;F.D.P.;ZENTRUM;ÖDP;Mündige Bürger;BP;BSA;LIGA;CM;DKP;ÖKO-UNION;DVU;REP;FAP;ARB.;HP;MLPD;Bewußtsein;Patrioten
07 3 11;Frankenthal (Pfalz), Stadt;34654;25640;520;25120;9139;10302;0;1811;1387;34;97;32;56;5;35;20;50;47;377;1660;11;8;12;2;28;7
07 3 12;Kaiserslautern, Stadt;75232;51375;897;50478;15393;23072;0;3978;2980;59;258;88;85;13;33;56;88;126;868;3215;32;17;19;15;58;25
07 3 13;Landau in der Pfalz, Stadt;29017;21608;369;21239;7874;7928;0;2057;1392;33;199;33;25;4;20;36;22;51;452;1036;11;15;8;2;25;16
07 3 14;Ludwigshafen am Rhein, Stadt;114740;77688;1069;76619;23878;36423;0;5500;3106;82;250;97;97;18;36;60;165;119;1597;5006;31;19;22;24;53;36
07 3 15;Mainz, Stadt;133388;95952;1206;94746;31659;35254;0;11814;6646;93;1333;76;129;16;50;157;151;140;1497;5523;33;16;22;17;74;46
07 3 16;Neustadt an der Weinstraße, Stadt;40780;31405;603;30802;12294;11066;0;2622;1947;37;226;59;40;9;37;76;48;86;508;1658;16;14;12;4;22;21
07 3 17;Pirmasens, Stadt;39359;25986;606;25380;8411;12055;0;1465;980;34;102;27;32;5;15;41;56;53;800;1235;14;11;12;4;14;14
07 3 18;Speyer, Stadt;34449;24548;474;24074;8310;9787;0;2201;1244;23;527;22;35;3;47;33;66;59;334;1317;12;5;8;6;21;14
07 3 19;Worms, Stadt;58429;41273;764;40509;12322;18352;0;3348;1973;56;149;49;52;7;16;39;99;67;878;2992;32;11;18;5;28;16
07 3 20;Zweibrücken, Stadt;27361;19237;406;18831;5445;8776;0;1096;1234;20;490;29;43;5;6;17;25;63;444;1073;12;4;10;7;12;20
07 3 31;Alzey-Worms;79320;65211;1552;63659;17483;29705;0;5214;3938;78;266;67;102;15;62;74;93;111;1787;4467;53;21;14;12;29;68
07 3 32;Bad Dürkheim;97062;77248;1540;75708;26337;31531;0;5936;5064;91;336;101;116;16;71;85;90;187;1274;4256;45;31;27;11;48;55
07 3 33;Donnersbergkreis;52775;43060;1078;41982;11464;20537;0;3009;2879;27;153;71;176;16;40;67;49;91;978;2315;26;10;12;4;20;38
07 3 34;Germersheim;79151;63939;1541;62398;24886;22517;0;4660;3374;79;1188;63;83;18;58;80;59;166;653;4363;46;17;18;4;39;27
07 3 35;Kaiserslautern;76584;62574;1439;61135;22065;26407;0;3864;2830;75;279;112;108;18;49;89;80;151;1043;3779;44;23;27;12;38;42
07 3 36;Kusel;60720;48262;1211;47051;11526;25432;0;3080;1840;46;170;64;58;13;33;49;97;96;693;3717;43;15;19;4;21;35
07 3 37;Südliche Weinstraße;77569;64670;2008;62662;25526;21635;0;4822;4221;91;491;103;83;14;57;246;75;150;1424;3510;41;28;27;13;52;53
07 3 38;Ludwigshafen;104624;84393;1563;82830;30974;33385;0;6240;4723;92;455;88;103;22;85;83;111;173;1167;4894;55;23;28;18;62;49
07 3 39;Mainz-Bingen;129737;103447;2067;101380;35097;40355;0;9857;7072;145;618;111;168;21;70;107;155;212;2095;5032;64;29;21;13;49;89
07 3 40;Pirmasens;79937;67150;2266;64884;27218;23509;0;3742;3826;100;400;93;110;16;80;145;75;160;1448;3736;68;37;22;8;44;47
907;Rheinland-Pfalz;2888854;2231456;49294;2182162;845263;877520;0;159615;124647;3068;14084;2791;3057;444;1777;3243;2873;4328;32322;101385;1409;651;722;324;1319;1320

08 1 11;Stuttgart, Landeshauptstadt;391098;242156;1846;240310;77716;74850;0;30394;24664;349;1955;298;360;53;315;318;679;595;4613;22041;185;99;122;314;275;115
08 1 15;Böblingen;227359;141564;1221;140343;52671;40043;0;14625;12116;208;1515;196;253;19;289;372;196;434;2787;14074;92;56;57;102;151;87
08 1 16;Esslingen;333909;208194;1667;206527;78477;59628;0;21055;16969;299;1728;319;385;40;367;481;328;591;3245;21777;161;76;93;165;228;115
08 1 17;Göppingen;171108;95910;838;95072;35870;28294;0;7686;7560;170;1284;147;194;15;142;168;160;306;1924;10818;76;33;35;44;97;49
08 1 18;Ludwigsburg;319402;195564;1571;193993;69493;59003;0;20440;15941;294;1998;252;322;40;308;472;303;607;4678;19006;170;84;95;152;189;146
08 1 19;Rems-Murr-Kreis;268933;157672;1289;156383;57302;46493;0;14892;13775;287;1761;216;289;41;356;477;288;490;3542;15533;148;40;63;117;155;118
08 1 21;Heilbronn, Stadt;80456;47572;473;47099;15628;16757;0;3784;3103;61;464;74;78;13;53;86;92;123;1227;5370;21;28;26;48;30;33
08 1 25;Heilbronn;190577;112851;1273;111578;40590;35287;0;9199;7506;204;1489;173;188;22;203;299;185;336;3313;12129;100;48;54;55;98;100
08 1 26;Hohenlohekreis;66494;39436;391;39045;15267;10135;0;3265;3305;84;1051;102;83;8;57;83;65;185;1505;3647;53;18;17;12;28;75
08 1 27;Schwäbisch Hall;118283;64664;562;64102;23562;18625;0;6167;4893;130;958;92;117;22;145;189;142;216;1819;6682;55;40;32;29;71;116
08 1 28;Main-Tauber-Kreis;95508;57033;762;56271;27887;13810;0;3990;3298;154;993;84;129;13;108;128;79;184;1222;3894;56;17;30;14;52;129
08 1 35;Heidenheim;93252;58275;526;57749;19683;17477;0;4705;3040;97;544;87;77;10;52;150;211;150;450;10846;58;20;16;17;31;28
08 1 36;Ostalbkreis;209324;123584;1275;122309;54512;34427;0;9416;6735;308;1542;118;237;23;373;237;179;294;1805;11623;93;41;48;104;109;85
08 2 11;Baden-Baden, Stadt;39942;23192;270;22922;9964;6186;0;1990;2176;54;218;31;42;9;34;40;45;84;523;1430;20;9;7;6;38;16
08 2 12;Karlsruhe, Stadt;203186;116359;1012;115347;40602;37469;0;14575;8280;127;1368;147;147;26;177;150;347;340;2576;8542;81;41;56;88;145;63
08 2 15;Karlsruhe;279377;169033;3059;165974;71644;50604;0;13497;9008;356;1446;214;224;35;434;433;353;512;4449;12103;139;69;75;67;193;119
08 2 16;Rastatt;152736;82868;1548;81320;36652;22133;0;6306;4579;301;862;125;146;16;204;141;169;322;2728;6226;101;36;44;29;124;76
08 2 21;Heidelberg, Stadt;96996;61485;523;60962;18670;19793;0;12153;4746;81;690;62;75;18;99;62;162;118;915;3088;21;34;28;50;67;30
08 2 22;Mannheim, Universitätsstadt;210503;118074;1329;116745;36821;45552;0;12467;6338;229;811;109;197;27;96;102;861;271;3110;9329;84;33;39;61;110;98
08 2 25;Neckar-Odenwald-Kreis;99460;60346;980;59366;27970;17554;0;3666;2960;134;904;103;99;12;143;112;90;154;1499;3773;41;21;22;12;49;48
08 2 26;Rhein-Neckar-Kreis;358448;226648;3375;223273;83631;76728;0;21816;15144;443;2289;219;295;54;529;282;416;482;4801;15379;167;55;109;80;217;137
08 2 31;Pforzheim, Stadt;78913;45247;517;44730;16574;12935;0;3916;3149;89;465;70;71;11;43;52;76;131;1187;5813;28;15;11;20;48;26
08 2 35;Calw;98589;56526;515;56011;23171;14478;0;4656;4388;227;644;98;120;11;184;207;136;212;2217;5002;66;33;28;35;62;36
08 2 36;Enzkreis;124203;72849;820;72029;25513;22388;0;6813;5014;162;904;132;127;15;132;198;134;251;1640;8315;61;30;39;19;73;69
08 2 37;Freudenstadt;78059;42952;398;42554;18797;11304;0;2753;3049;111;721;71;84;5;139;181;90;167;1087;3833;45;15;24;14;37;27
08 3 11;Freiburg im Breisgau, Stadt;137267;81510;662;80848;22907;24093;0;17969;5826;200;2466;91;76;62;107;124;266;303;1200;4764;32;29;52;101;156;24
08 3 15;Breisgau-Hochschwarzwald;158156;90433;1112;89321;35816;24506;0;10759;7547;229;2976;132;137;29;127;202;136;375;1284;4765;55;26;24;27;130;39
08 3 16;Emmendingen;103052;55342;813;54529;19962;18190;0;6059;3847;118;1012;70;71;16;126;95;115;234;1082;3343;41;7;24;20;64;33
08 3 17;Ortenaukreis;274757;145655;2202;143453;65249;41317;0;12520;8732;384;1769;186;231;32;235;295;244;529;2889;8227;117;64;73;42;193;125
08 3 25;Rottweil;96427;51251;696;50555;23095;13117;0;3367;3241;124;1615;77;89;7;105;119;106;206;2015;3051;50;21;23;26;65;36
08 3 26;Schwarzwald-Baar-Kreis;143476;77789;855;76934;32283;21361;0;6379;6020;194;1299;99;142;18;142;180;165;291;3285;4787;63;23;26;44;82;51
08 3 27;Tuttlingen;83898;46713;645;46068;21600;11027;0;2902;3392;129;634;89;80;11;104;128;138;143;2864;2664;37;18;19;18;44;27
08 3 35;Konstanz;176689;95777;1162;94615;37900;26440;0;10365;6978;231;1130;166;211;29;168;184;217;310;2630;7258;80;35;43;48;112;80
08 3 36;Lörrach;144616;75232;933;74299;26795;25776;0;7765;5437;169;1041;112;131;16;185;195;218;310;2234;3630;75;30;27;48;69;36
08 3 37;Waldshut;108211;57168;685;56483;25847;15030;0;4854;3929;158;1161;97;109;19;134;142;95;224;1991;2452;46;17;27;15;97;39
08 4 15;Reutlingen;180756;106180;880;105300;41345;28770;0;10837;8865;255;1039;196;181;34;235;304;223;372;2732;9447;102;35;59;96;112;61
08 4 16;Tübingen;128016;78084;528;77556;25150;21688;0;13342;6204;165;1192;126;124;42;219;213;338;239;1626;6543;67;23;34;82;94;45
08 4 17;Zollernalbkreis;130150;66997;646;66351;28905;17080;0;4397;4317;186;793;120;137;18;136;162;107;271;2294;7061;76;27;33;131;64;36
08 4 21;Ulm, Universitätsstadt;75828;44640;318;44322;15252;13504;0;4899;3256;103;645;86;62;6;50;72;111;140;1185;4733;29;27;18;62;53;29
08 4 25;Alb-Donau-Kreis;118779;71545;745;70800;32947;16223;0;5240;4034;223;1508;81;118;12;166;220;118;236;1360;7991;75;25;41;32;51;99
08 4 26;Biberach;116919;70060;998;69062;37149;11768;0;5104;3165;300;1842;111;123;15;305;213;89;255;1342;6969;66;30;31;40;81;64
08 4 35;Bodenseekreis;131221;74362;739;73623;32384;17176;0;7353;5147;226;2152;133;161;12;338;141;78;289;1486;6220;68;31;37;31;107;53
08 4 36;Ravensburg;174521;100765;1072;99693;48696;18591;0;8956;4671;311;3949;169;191;17;1469;274;133;361;1994;9544;68;36;40;44;112;67
08 4 37;Sigmaringen;84893;48716;652;48064;25266;9206;0;3384;2417;177;1057;64;81;13;225;101;68;182;913;4715;49;24;20;21;49;32
908;Baden-Württemberg;6953747;4058273;44383;4013890;1577215;1166816;0;400677;288761;8841;57884;5744;6794;966;9558;8784;8751;12825;95268;348437;3318;1519;1821;2582;4412;2917

09 1 61;Ingolstadt, Stadt;73158;42640;360;42280;0;10139;18458;2739;1359;24;205;46;328;17;81;67;83;77;435;8083;25;19;52;5;26;12
09 1 62;München, Landeshauptstadt;879494;533325;2498;530827;0;150004;174162;72016;35691;191;4630;737;4223;184;566;652;1081;1250;4173;79352;241;234;513;172;648;107
09 1 63;Rosenheim, Stadt;39960;27844;389;27455;0;5906;11313;1991;905;13;259;46;456;13;37;32;22;65;236;6079;10;5;21;5;36;5
09 1 71;Altötting;74218;47230;375;46855;0;9071;25875;2311;1294;30;342;60;430;13;41;70;36;81;381;6694;25;20;32;4;36;9
09 1 72;Berchtesgadener Land;70367;43764;350;43414;0;7030;21945;2936;1514;24;329;65;522;24;80;96;46;111;617;7931;28;19;20;7;53;17
09 1 73;Bad Tölz-Wolfratshausen;77222;50752;385;50367;0;8295;25035;3707;2451;41;439;72;660;18;67;93;37;127;409;8756;37;17;26;15;53;12
09 1 74;Dachau;79808;47903;271;47632;0;9431;22477;3326;1638;9;1164;62;445;18;65;86;45;134;279;8317;22;10;30;23;39;12
09 1 75;Ebersberg;75681;48879;274;48605;0;10445;22023;4828;3205;20;576;67;851;10;62;76;47;114;334;5770;54;18;35;6;48;16
09 1 76;Eichstätt;74268;50013;426;49587;0;10319;26502;2284;1044;25;289;56;387;17;196;100;111;84;249;7798;31;10;44;4;23;14
09 1 77;Erding;69356;41288;354;40934;0;7380;20980;2968;1295;13;415;38;767;20;72;89;37;111;183;6456;21;17;25;7;30;10
09 1 78;Freising;90751;55239;466;54773;0;11165;24343;5881;2423;43;820;70;763;19;118;91;74;134;440;8185;51;19;27;14;50;43
09 1 79;Fürstenfeldbruck;135078;86427;465;85962;0;20654;34491;8988;5323;35;966;114;903;27;120;120;82;205;503;13171;39;32;59;19;90;21
09 1 80;Garmisch-Partenkirchen;63027;38882;320;38562;0;4872;22018;2193;1801;17;579;45;443;10;66;50;23;88;333;5919;14;17;24;3;38;9
09 1 81;Landsberg a. Lech;66113;38807;247;38560;0;6868;19188;3969;1692;36;370;56;601;10;56;112;35;94;352;4994;18;14;13;6;63;13
09 1 82;Miesbach;64589;41213;276;40937;0;7721;19897;2547;1901;19;488;62;660;14;95;54;34;120;407;6776;29;18;24;4;55;12
09 1 83;Mühldorf a. Inn;72910;46325;435;45890;0;7347;24102;1990;1266;25;372;58;711;13;73;126;32;92;435;9113;34;23;27;11;30;10
09 1 84;München;195676;128152;615;127537;0;31409;50440;14015;10955;36;1908;169;1144;34;132;151;111;306;924;15400;62;48;85;27;151;30
09 1 85;Neuburg-Schrobenhausen;59297;35234;303;34931;0;6776;18741;1749;795;19;235;40;293;13;47;57;41;83;278;5674;26;10;29;5;10;10
09 1 86;Pfaffenhofen a.d. Ilm;69561;42249;293;41956;0;8541;21773;2487;1200;22;298;49;392;15;53;71;38;72;270;6574;28;17;19;8;13;16
09 1 87;Rosenheim;148814;95004;753;94251;0;16234;45542;6066;3532;55;1257;128;1767;26;171;168;74;227;615;18109;67;15;52;11;111;24
09 1 88;Starnberg;86540;58348;276;58072;0;11649;25568;6578;5976;19;548;82;520;13;60;49;36;126;477;6198;28;13;29;6;82;15
09 1 89;Traunstein;114631;72770;562;72208;0;12976;36025;4758;2530;43;895;99;1349;18;191;167;61;203;686;12009;46;35;40;10;49;18
09 1 90;Weilheim-Schongau;83708;52248;470;51778;0;11591;25748;3551;1753;33;585;76;604;8;54;59;77;135;467;6868;36;18;29;15;45;26
09 2 61;Landshut, Stadt;45215;26109;234;25875;0;5802;11247;2048;994;20;420;56;237;22;34;44;27;68;239;4497;29;17;20;3;39;12
09 2 62;Passau, Stadt;39000;22538;138;22400;0;5147;10599;1571;1602;13;236;35;149;5;31;28;21;64;513;2322;10;10;10;10;21;3
09 2 63;Straubing, Stadt;32698;17473;139;17334;0;4088;8398;754;517;10;293;18;137;6;21;18;21;39;215;2757;19;5;4;2;6;6
09 2 71;Deggendorf;78783;44594;520;44074;0;8789;24846;1884;982;20;353;54;399;17;45;66;31;69;463;5911;62;26;20;8;18;11
09 2 72;Freyung-Grafenau;58840;28189;206;27983;0;6123;15471;1094;534;9;171;35;302;12;36;49;14;48;235;3778;26;11;13;3;15;4
09 2 73;Kelheim;70231;41117;347;40770;0;9630;19937;1985;949;11;540;49;390;17;37;60;31;108;476;6449;27;17;19;4;14;20
09 2 74;Landshut;90330;54053;528;53525;0;9614;26574;3001;1761;21;848;93;567;22;69;114;64;115;459;10006;45;29;22;17;48;36
09 2 75;Passau;125901;65528;589;64939;0;14469;35424;2853;1659;36;551;70;585;27;66;140;51;130;976;7751;54;21;25;9;31;11
09 2 76;Regen;60093;30018;242;29776;0;6246;15145;1231;524;8;260;38;248;11;39;58;22;48;216;5613;18;7;16;5;14;9
09 2 77;Rottal-Inn;81885;43777;361;43416;0;7260;25169;1718;1070;21;357;69;598;14;52;126;35;97;676;6014;41;17;25;10;26;21
09 2 78;Straubing-Bogen;63097;37448;450;36998;0;6162;20677;1268;947;22;921;43;502;20;54;78;34;81;409;5662;35;19;13;6;24;21
09 2 79;Dingolfing-Landau;59184;35122;365;34757;0;7779;18192;1765;709;10;297;39;350;14;33;59;20;58;542;4796;30;10;9;3;18;24
09 3 61;Amberg, Stadt;33398;20229;160;20069;0;5747;8995;1396;645;8;219;26;146;5;33;20;28;45;102;2601;12;10;9;7;13;2
09 3 62;Regensburg, Stadt;94458;56280;395;55885;0;14045;24367;5320;2040;20;836;42;466;21;56;96;89;103;654;7593;29;19;17;20;35;17
09 3 63;Weiden i.d. OPf., Stadt;33398;20161;212;19949;0;5926;9385;1042;545;3;218;24;135;12;23;40;17;51;238;2232;9;10;9;5;19;6
09 3 71;Amberg-Sulzbach;74601;47688;443;47245;0;13546;22726;2367;1003;28;628;55;356;13;59;85;45;116;264;5847;34;15;19;8;25;6
09 3 72;Cham;94134;51720;586;51134;0;8770;28095;1981;871;30;372;53;513;27;69;100;44;94;383;9562;48;32;24;9;27;30
09 3 73;Neumarkt i.d. OPf.;80842;52755;520;52235;0;9148;30513;2449;1164;37;502;55;428;20;115;113;60;105;621;6771;37;22;21;9;30;15
09 3 74;Neustadt a.d. Waldnaab;71717;46583;512;46071;0;13468;23691;1729;947;24;498;36;314;20;47;72;39;68;272;4751;34;11;13;10;12;15
09 3 75;Regensburg;114133;73334;795;72539;0;17582;34713;4250;1828;37;1062;72;903;29;88;114;66;171;570;10824;57;35;31;13;43;51
09 3 76;Schwandorf;103874;64514;718;63796;0;19988;28832;2980;1036;28;1096;67;485;43;110;126;112;140;362;8241;60;19;26;9;19;17
09 3 77;Tirschenreuth;61129;40078;477;39601;0;10731;21391;1312;764;21;441;42;265;20;59;82;25;84;326;3957;17;17;16;3;18;10
09 4 61;Bamberg, Stadt;55377;32551;202;32349;0;7313;14600;3001;1265;10;620;37;178;6;37;46;52;55;252;4775;19;7;13;27;28;8
09 4 62;Bayreuth, Stadt;56432;33453;186;33267;0;10328;12599;2778;1612;10;250;27;98;12;37;47;30;64;404;4909;12;7;14;3;21;5
09 4 63;Coburg, Stadt;34201;21011;128;20883;0;7006;7774;1533;989;5;82;18;45;3;14;18;29;25;177;3109;9;3;9;15;16;4
09 4 64;Hof, Stadt;39969;21409;181;21228;0;6776;8287;1026;568;12;74;26;72;9;33;27;46;27;324;3874;12;6;9;3;9;8
09 4 71;Bamberg;93049;59822;469;59353;0;11283;32900;2739;1223;39;657;50;541;15;60;125;27;112;462;8964;44;21;30;14;27;20
09 4 72;Bayreuth;77738;48898;391;48507;0;13495;22066;2136;1183;23;168;38;233;16;73;74;31;58;313;8508;25;9;23;9;16;10
09 4 73;Coburg;65252;41567;220;41347;0;15577;15401;2011;1102;16;106;27;139;8;23;41;17;62;278;6443;24;4;6;33;17;12
09 4 74;Forchheim;75469;48297;358;47939;0;9783;24496;2968;1630;26;368;38;275;6;68;108;32;84;286;7667;25;17;18;10;21;13
09 4 75;Hof;85066;53777;532;53245;0;19430;21145;2020;1051;15;174;42;209;18;75;106;52;63;485;8255;25;16;19;6;25;14
09 4 76;Kronach;60155;40963;414;40549;0;18124;16472;1170;442;12;93;35;84;5;50;54;21;33;147;3736;29;6;14;6;4;12
09 4 77;Kulmbach;58539;36204;257;35947;0;12202;13832;1691;808;11;122;26;124;11;34;48;46;62;248;6559;19;13;17;42;24;8
09 4 78;Lichtenfels;51803;31497;289;31208;0;8205;16738;1385;648;17;126;31;128;4;36;42;14;53;305;3413;18;7;13;4;11;10
09 4 79;Wunsiedel i. Fichtelgebirge;70760;43255;400;42855;0;16704;16033;1841;879;12;186;43;204;15;35;44;44;46;538;6135;35;8;19;12;15;7
09 5 61;Ansbach, Stadt;28888;17586;135;17451;0;5172;6904;1423;727;4;264;27;91;9;23;47;23;35;174;2488;21;3;7;0;7;2
09 5 62;Erlangen, Stadt;74852;48218;251;47967;0;14128;16516;6768;3898;14;725;54;151;8;62;77;68;102;460;4781;23;21;28;35;34;14
09 5 63;Fürth, Stadt;74706;43708;301;43407;0;14653;13325;3648;1892;17;218;71;215;12;30;50;239;85;661;8136;35;17;15;23;40;25
09 5 64;Nürnberg, Stadt;360478;216506;1236;215270;0;68921;70007;20430;9394;58;1570;393;811;35;149;322;811;450;3313;37840;148;91;109;129;220;69
09 5 65;Schwabach, Stadt;26804;15944;99;15845;0;4513;5860;1512;785;2;89;19;76;0;25;28;47;26;201;2614;15;4;8;5;11;5
09 5 71;Ansbach;120851;74286;627;73659;0;16233;34966;5035;2884;26;702;82;382;11;131;272;76;162;740;11760;67;19;31;16;32;32
09 5 72;Erlangen-Höchstadt;82135;52132;367;51765;0;13867;22065;4423;2957;16;443;58;212;7;42;88;40;96;511;6816;32;16;22;11;25;18
09 5 73;Fürth;75705;48249;264;47985;0;14642;17243;3805;2141;10;328;72;185;4;35;95;73;69;535;8621;32;15;27;8;36;9
09 5 74;Nürnberger Land;117384;73124;385;72739;0;22374;27580;5623;3074;21;434;136;308;9;85;144;97;143;938;11598;55;23;31;15;30;21
09 5 75;Neustadt a.d. Aisch-Bad Windsheim;66899;39246;250;38996;0;9372;17307;2390;1354;8;400;37;160;11;48;146;34;52;504;7089;16;10;20;10;16;12
09 5 76;Roth;81252;51610;380;51230;0;13041;23276;3739;1747;23;276;60;277;7;68;86;57;87;469;7866;45;15;23;10;33;25
09 5 77;Weißenburg-Gunzenhausen;66732;40907;312;40595;0;10531;18923;2660;1147;10;210;64;190;6;74;100;48;89;367;6045;33;15;22;13;24;24
09 6 61;Aschaffenburg, Stadt;46908;25928;243;25685;0;7300;11505;2118;1003;19;247;39;171;7;18;45;38;78;413;2587;15;13;11;9;35;14
09 6 62;Schweinfurt, Stadt;41169;25003;217;24786;0;8759;9565;1595;1016;4;146;22;107;7;15;32;40;50;297;3049;16;12;9;26;9;10
09 6 63;Würzburg, Stadt;96754;57523;451;57072;0;15210;24257;6892;3338;20;742;76;257;10;83;81;95;122;509;5235;21;22;28;14;52;8
09 6 71;Aschaffenburg;118169;71229;716;70513;0;18752;34567;5267;2204;33;752;68;465;16;114;129;59;163;741;6977;50;30;27;19;58;22
09 6 72;Bad Kissingen;78674;50422;472;49950;0;9585;28889;2433;1702;14;372;39;335;2;42;109;38;104;439;5727;32;17;22;9;24;16
09 6 73;Rhön-Grabfeld;60549;36974;307;36667;0;6840;22084;1971;1080;15;244;25;225;5;45;64;32;71;315;3559;25;10;15;7;20;15
09 6 74;Haßberge;62726;41211;418;40793;0;10082;21067;2214;1391;11;339;27;238;7;42;66;29;66;321;4809;23;6;16;8;16;15
09 6 75;Kitzingen;61590;35670;300;35370;0;8190;16913;2233;1354;14;449;36;200;9;74;99;21;66;545;5082;27;10;17;7;14;10
09 6 76;Miltenberg;84557;54507;546;53961;0;13957;27116;3560;1683;16;417;45;274;9;208;108;46;117;696;5564;36;13;25;12;40;19
09 6 77;Main-Spessart;94805;57209;515;56694;0;14472;30080;3491;1669;19;575;48;339;15;80;84;41;132;400;5107;43;17;24;14;29;15
09 6 78;Schweinfurt;82261;52096;487;51609;0;11036;28495;3268;1433;17;392;35;248;10;51;89;26;97;452;5842;38;13;17;18;19;13
09 6 79;Würzburg;108482;68605;706;67899;0;18822;33231;5259;2560;27;502;74;417;16;65;127;79;134;449;5967;44;25;29;13;45;14
09 7 61;Augsburg, Stadt;183603;109855;752;109103;0;27176;41158;10838;3931;53;968;164;819;32;104;312;128;290;1345;21401;73;51;68;31;124;37
09 7 62;Kaufbeuren, Stadt;30550;18247;161;18086;0;3279;8209;1954;741;6;152;25;123;13;40;36;22;43;528;2865;10;8;9;4;15;4
09 7 63;Kempten (Allgäu), Stadt;46057;28244;265;27979;0;5806;10619;3474;1214;8;389;50;266;10;50;78;36;85;320;5461;21;18;17;12;37;8
09 7 64;Memmingen, Stadt;28763;16537;132;16405;0;3789;6767;1649;750;8;285;37;129;14;54;47;15;61;265;2476;16;7;6;2;25;3
09 7 71;Aichach-Friedberg;78630;53574;573;53001;0;8899;27714;4034;1597;31;353;68;395;18;59;105;30;98;359;9118;32;12;17;11;36;15
09 7 72;Augsburg;148479;89477;652;88825;0;17366;41826;7683;3205;43;769;121;791;40;138;201;77;211;855;15261;59;35;29;10;74;31
09 7 73;Dillingen a.d. Donau;61258;36242;339;35903;0;6813;18441;2119;1513;19;284;31;274;14;37;225;28;94;286;5646;20;17;11;3;16;12
09 7 74;Günzburg;78791;45642;431;45211;0;8261;24559;2819;1292;38;384;73;352;15;64;84;46;111;682;6292;36;23;14;10;22;34
09 7 75;Neu-Ulm;105943;59412;462;58950;0;15249;26643;4624;2688;24;875;82;465;27;73;135;69;187;1333;6194;43;25;25;19;34;136
09 7 76;Lindau (Bodensee);53144;30794;258;30536;0;6195;14997;3031;1310;17;446;38;329;12;141;94;27;89;415;3301;20;17;18;7;26;6
09 7 77;Ostallgäu;87901;52371;354;52017;0;7497;28389;5216;1800;31;437;70;668;11;114;132;51;125;621;6714;36;22;22;7;42;12
09 7 78;Unterallgäu;89606;54028;502;53526;0;6814;31488;3644;1579;37;732;94;572;18;129;189;46;148;885;6956;48;24;31;5;49;38
09 7 79;Donau-Ries;89462;52215;456;51759;0;10979;28321;3352;1550;40;380;65;386;23;97;191;64;117;915;5137;50;16;19;5;27;25
09 7 80;Oberallgäu;100310;62241;504;61737;0;9204;32029;7215;2422;35;869;93;565;18;282;171;52;172;710;7749;40;22;12;5;57;15
909;Bayern;8450805;5163320;39953;5123367;0;1239888;2326277;399584;206059;2245;50273;6424;42492;1576;7245;9592;6448;11112;50882;748238;3397;1885;2721;1306;3981;1742

10 0 41;Stadtverband Saarbrücken;281670;210514;5591;204923;64689;95376;0;14602;12419;249;839;256;173;70;111;205;1111;452;2567;11204;114;55;84;91;145;111
10 0 42;Merzig-Wadern;79379;67225;2810;64415;24432;28157;0;3413;2944;90;572;100;62;21;91;121;183;262;786;2956;72;33;27;17;40;36
10 0 43;Neunkirchen;119891;93137;2780;90357;28625;45406;0;4943;3492;107;288;125;72;21;61;96;429;180;1229;4982;71;26;37;38;72;57
10 0 44;Saarlouis;165097;132384;4035;128349;46203;55005;0;7482;5507;158;823;211;166;124;158;202;237;279;1595;9797;116;49;51;28;87;71
10 0 45;Saarpfalz-Kreis;121940;96732;3405;93327;32284;40514;0;6659;4661;114;384;161;119;30;85;129;246;191;1764;5698;65;31;64;19;59;50
10 0 46;Sankt Wendel;74669;64879;2142;62737;26094;27430;0;3120;1702;85;191;56;51;15;53;114;121;101;736;2692;36;10;22;26;43;39
910;Saarland;842646;664871;20763;644108;222327;291888;0;40219;30725;803;3097;909;643;281;559;867;2327;1465;8677;37329;474;204;285;219;446;364

999;Bundesgebiet ohne Berlin;45773179;28508598;301908;28206690;8332846;10525728;2326277;2382102;1576715;41190;184309;32246;71991;7788;30879;43580;57704;55463;444921;2008629;19151;10377;10885;10134;20868;12907
