# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 3. Europäischen Parlament aus der Bundesrepublik Deutschland (18. Juni 1989)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;F.D.P.;ZENTRUM;ÖDP;Mündige Bürger;BP;BSA;LIGA;CM;DKP;ÖKO-UNION;DVU;REP;FAP;ARB.;HP;MLPD;Bewußtsein;Patrioten
03 3 52;Cuxhaven;151479;90745;717;90028;33147;38127;0;7127;4693;58;214;96;93;29;42;59;126;135;1912;3940;64;30;19;27;50;40
03 3 53;Harburg;153100;95202;672;94530;36326;32512;0;9396;7466;83;310;102;155;24;86;174;107;185;1188;6099;68;36;24;33;99;57
03 3 54;Lüchow-Dannenberg;39157;23897;165;23732;8662;7685;0;3205;1267;21;80;28;35;9;19;25;32;57;588;1891;11;11;13;10;20;63
03 3 55;Lüneburg;106127;64169;505;63664;22494;24814;0;6825;4305;53;210;71;86;33;28;61;87;129;1017;3216;72;16;24;21;59;43
03 3 56;Osterholz;75717;47160;349;46811;14677;20763;0;5628;2846;36;132;49;49;13;39;39;71;77;586;1706;24;17;10;8;24;17
03 3 57;Rotenburg (Wümme);108207;66227;434;65793;27963;23753;0;5252;3584;49;152;67;55;17;74;108;88;89;741;3633;39;29;13;13;35;39
03 3 58;Soltau-Fallingbostel;97738;59205;542;58663;23156;21722;0;4547;3653;65;218;70;103;23;44;90;60;141;1057;3498;54;34;15;17;46;50
03 3 59;Stade;130243;76293;689;75604;27360;31080;0;6484;4702;58;272;78;90;21;36;68;90;142;1153;3786;53;23;20;14;36;38
03 3 60;Uelzen;74984;49923;407;49516;18238;19586;0;3874;3041;46;237;57;98;20;63;38;42;107;1040;2854;54;17;17;10;34;43
03 3 61;Verden;90123;54330;432;53898;17612;23017;0;5990;3496;38;116;42;59;23;38;58;51;93;750;2382;32;17;20;8;33;23
03 4 01;Delmenhorst, Stadt;57484;32542;309;32233;9289;15283;0;3083;1769;46;71;37;41;14;18;40;71;64;661;1672;20;13;5;8;13;15
03 4 02;Emden, Stadt;38839;24453;269;24184;4744;14958;0;2131;990;24;44;21;14;14;14;22;86;34;395;650;7;4;4;14;10;4
03 4 03;Oldenburg (Oldenburg), Stadt;112245;68436;491;67945;18564;29344;0;9893;5487;62;188;79;53;22;29;76;324;116;1245;2282;39;18;23;38;51;12
03 4 04;Osnabrück, Stadt;119556;75137;471;74666;26257;31342;0;8009;4336;184;238;56;80;29;49;98;132;114;754;2824;33;18;21;37;34;21
03 4 05;Wilhelmshaven, Stadt;72618;43143;385;42758;12005;21418;0;3473;2302;35;92;42;48;15;19;39;80;63;1397;1605;28;18;18;26;18;17
03 4 51;Ammerland;74211;42275;402;41873;13417;17625;0;3712;4224;44;130;61;31;49;35;29;60;68;805;1472;34;16;13;3;28;17
03 4 52;Aurich;132577;81801;1251;80550;19888;46866;0;6488;2906;73;163;73;64;32;119;90;185;120;964;2336;67;18;18;14;30;36
03 4 53;Cloppenburg;87420;55340;860;54480;33880;13154;0;2769;2337;182;129;28;37;22;67;95;26;70;442;1126;30;25;15;11;11;24
03 4 54;Emsland;189887;119581;1200;118381;69541;32676;0;6349;4581;377;313;87;89;26;137;319;149;171;809;2505;54;31;40;24;32;71
03 4 55;Friesland;74679;43477;521;42956;12324;20935;0;3613;3104;37;111;46;46;20;25;33;53;92;839;1561;24;9;17;10;33;24
03 4 56;Grafschaft Bentheim;86434;55365;406;54959;23098;22898;0;3388;3028;77;182;32;42;13;44;77;133;67;504;1286;25;13;11;9;14;18
03 4 57;Leer;111627;64908;770;64138;19231;33631;0;4748;2367;62;140;54;42;35;94;124;213;93;970;2161;48;20;20;14;32;39
03 4 58;Oldenburg;79105;47698;416;47282;15512;19051;0;4576;4798;54;131;63;49;12;19;38;73;89;863;1818;31;27;8;9;35;26
03 4 59;Osnabrück;228921;153817;1478;152339;66508;59001;0;10949;7778;441;414;122;158;32;129;211;135;244;1402;4435;85;51;36;23;82;103
03 4 60;Vechta;75103;50773;675;50098;32273;10234;0;2734;2690;261;97;52;34;11;56;118;39;73;237;1094;33;12;14;3;16;17
03 4 61;Wesermarsch;70201;41631;498;41133;10752;21425;0;3410;3052;36;126;33;41;22;27;31;83;60;610;1312;42;12;12;11;21;15
03 4 62;Wittmund;40887;21999;242;21757;7612;9750;0;1648;1189;20;54;25;31;5;13;21;25;36;470;790;24;6;10;6;5;17
903;Niedersachsen;5661261;3579790;32088;3547702;1272859;1490456;0;296804;207141;4497;10149;3418;4300;1304;2863;4377;5463;6357;57014;170920;2471;1320;1026;1006;2083;1874

04 0 11;Bremen, Stadt;421158;251264;2051;249213;58202;113994;0;36360;18093;184;512;426;374;183;175;331;1106;541;6937;10997;157;126;82;139;213;81
04 0 12;Bremerhaven, Stadt;97831;53417;573;52844;12303;26043;0;5238;3005;36;87;119;86;53;34;69;165;151;2841;2467;51;23;20;18;25;10
904;Bremen;518989;304681;2624;302057;70505;140037;0;41598;21098;220;599;545;460;236;209;400;1271;692;9778;13464;208;149;102;157;238;91

05 1 11;Düsseldorf, Stadt;434990;256402;1447;254955;86547;103861;0;25594;18508;463;609;300;243;39;141;261;1013;409;4153;12028;144;136;128;87;199;92
05 1 12;Duisburg, Stadt;391171;220883;1669;219214;53978;125019;0;14708;6828;452;532;210;182;62;146;175;698;276;3529;11593;185;126;71;255;108;81
05 1 13;Essen, Stadt;495815;287240;1902;285338;84085;143857;0;23172;14309;670;1327;246;148;73;165;275;946;393;3601;11324;153;67;83;202;158;84
05 1 14;Krefeld, Stadt;174953;102137;796;101341;37075;41834;0;8451;6942;226;409;107;119;24;58;102;193;133;1269;4116;55;47;29;60;63;29
05 1 16;Mönchengladbach, Stadt;198052;110393;1103;109290;45000;41188;0;8302;7214;349;502;138;100;18;60;126;265;146;1237;4338;68;50;49;22;83;35
05 1 17;Mülheim a.d. Ruhr, Stadt;141890;87228;597;86631;24763;43958;0;7351;5145;100;274;54;50;16;31;65;274;107;1138;3100;33;33;25;54;42;18
05 1 19;Oberhausen, Stadt;172740;96832;616;96216;25357;54556;0;6556;3155;207;272;85;72;30;49;59;262;120;1330;3799;63;76;13;95;29;31
05 1 20;Remscheid, Stadt;89328;51504;418;51086;17338;21984;0;3448;3625;74;312;53;58;5;32;57;146;80;1007;2746;25;31;16;8;24;17
05 1 22;Solingen, Stadt;120492;72129;532;71597;23700;29667;0;5556;6202;110;437;66;66;12;50;89;281;120;897;4150;34;30;21;42;40;27
05 1 24;Wuppertal, Stadt;283854;168336;1137;167199;50403;72557;0;15277;13813;237;403;169;223;31;103;257;617;199;3042;9416;94;72;59;81;97;49
05 1 54;Kleve;196598;124751;1499;123252;59570;43143;0;7605;6790;280;1011;78;73;16;85;220;125;177;877;2959;60;45;42;28;50;18
05 1 58;Mettmann;371226;230306;1642;228664;80066;93084;0;19151;17676;504;746;295;271;40;218;275;851;341;3346;11155;146;96;91;48;159;105
05 1 62;Neuss;309267;194961;1789;193172;79204;71997;0;14344;13510;730;572;215;236;37;109;247;321;370;2538;8237;127;86;73;40;120;59
05 1 66;Viersen;202949;120404;1190;119214;51158;44706;0;8663;8187;288;361;127;99;30;80;181;179;176;1075;3606;69;56;45;27;66;35
05 1 70;Wesel;330484;198543;1633;196910;63499;97078;0;13971;10009;404;678;171;132;20;82;168;374;289;2268;7328;93;68;38;103;76;61
05 3 13;Aachen, Stadt;166039;109746;901;108845;42390;40838;0;12836;6310;145;393;69;89;20;47;106;173;104;1332;3705;69;31;49;45;71;23
05 3 14;Bonn, Stadt;213354;143742;930;142812;57466;43663;0;16664;14991;252;695;151;189;28;121;194;202;195;1344;6278;56;37;45;55;132;54
05 3 15;Köln, Stadt;683400;398056;2725;395331;121090;167732;0;46313;26601;685;1204;411;373;102;226;453;1016;645;6010;21145;251;232;197;175;338;132
05 3 16;Leverkusen, Stadt;120456;76278;614;75664;25862;32343;0;5640;5184;134;216;82;79;13;35;141;118;92;1255;4272;31;40;22;36;41;28
05 3 54;Aachen;220226;145664;2016;143648;53960;66482;0;8773;5433;207;304;106;189;41;81;84;241;169;2332;4863;122;65;38;42;65;51
05 3 58;Düren;183153;118725;1529;117196;48654;48846;0;6780;6601;201;296;107;120;30;73;98;178;151;1259;3519;54;60;33;18;75;43
05 3 62;Erftkreis;310826;202867;2121;200746;68651;93458;0;13762;12115;316;663;185;173;54;97;181;321;268;2365;7668;124;77;70;18;103;77
05 3 66;Euskirchen;129066;84433;1161;83272;39883;27858;0;5253;5540;207;312;97;104;24;81;119;104;128;900;2452;55;49;21;17;35;33
05 3 70;Heinsberg;162954;106311;2177;104134;49052;37891;0;5675;4941;236;462;110;118;34;83;155;129;147;1533;3262;74;57;27;32;64;52
05 3 74;Oberbergischer Kreis;190732;124875;1001;123874;49264;49088;0;8658;8039;273;577;97;132;28;140;234;160;190;1543;5204;64;45;29;16;50;43
05 3 78;Rheinisch-Bergischer Kreis;196976;129731;957;128774;50603;45866;0;11518;11999;194;681;125;123;19;91;213;179;214;1608;5029;54;55;41;21;90;51
05 3 82;Rhein-Sieg-Kreis;373245;246199;2217;243982;103961;83602;0;19979;20294;497;762;240;291;43;174;300;284;377;2448;10137;119;88;61;54;197;74
05 5 12;Bottrop, Stadt;91685;56793;409;56384;16595;31469;0;3005;1539;111;119;39;36;8;22;38;714;53;720;1779;34;13;7;26;36;21
05 5 13;Gelsenkirchen, Stadt;219367;121932;1027;120905;29875;68210;0;8449;3336;257;264;118;111;19;55;110;526;166;2388;6388;107;61;32;340;56;37
05 5 15;Münster, Stadt;197536;131549;755;130794;50187;44320;0;19956;9534;503;765;69;107;22;85;125;415;173;918;3324;50;25;39;47;94;36
05 5 54;Borken;230030;144772;1379;143393;79308;45216;0;7673;5415;593;774;137;87;16;68;209;172;166;835;2523;64;31;37;18;30;21
05 5 58;Coesfeld;136506;89651;746;88905;45525;27619;0;7100;4538;562;313;70;99;14;59;112;88;106;710;1803;40;32;36;18;37;24
05 5 62;Recklinghausen;494790;303757;2445;301312;90056;157217;0;20831;10105;728;667;244;238;77;159;319;1066;386;4227;14279;206;105;80;120;115;87
05 5 66;Steinfurt;290541;186668;1575;185093;75845;78319;0;13321;9698;776;564;134;155;31;78;256;208;216;1483;3642;93;70;54;34;75;41
05 5 70;Warendorf;188414;126161;1187;124974;55885;46438;0;8837;6634;457;630;89;119;22;78;159;350;160;1393;3450;80;58;31;16;57;31
05 7 11;Bielefeld, Stadt;237151;154252;1541;152711;51296;63926;0;16545;9774;200;461;186;179;36;84;231;404;197;2163;6623;95;41;45;72;104;49
