# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
08 3 11;Freiburg im Breisgau, Stadt;125701;61746;629;61117;17257;25125;0;3622;11397;82;377;0;1371;147;322;436;833;148
08 3 15;Breisgau-Hochschwarzwald;147412;69038;990;68048;15375;35872;0;4983;8651;113;401;0;898;142;338;412;678;185
08 3 16;Emmendingen;97906;42740;726;42014;12267;20158;0;2730;5068;56;235;0;580;71;188;226;349;86
08 3 17;Ortenaukreis;265026;117014;1830;115184;27750;66618;0;6481;9785;188;645;0;1544;205;449;777;430;312
08 3 25;Rottweil;94278;42400;601;41799;9593;24368;0;2624;3110;57;478;0;413;87;185;556;202;126
08 3 26;Schwarzwald-Baar-Kreis;140488;61708;831;60877;14597;32381;0;4435;6025;103;441;0;623;130;308;1442;230;162
08 3 27;Tuttlingen;80764;37381;523;36858;7785;21863;0;2991;2448;54;241;0;396;74;166;626;114;100
08 3 35;Konstanz;166123;70267;1082;69185;16450;36918;0;4886;7531;108;425;0;1022;194;361;700;335;255
08 3 36;Lörrach;139185;57797;800;56997;17738;27219;0;3566;5793;102;363;0;804;137;233;520;319;203
08 3 37;Waldshut;103601;43407;627;42780;9255;25111;0;2756;3857;68;304;0;450;82;205;332;181;179
08 4 15;Reutlingen;170665;80697;927;79770;20363;40570;0;7298;7822;101;431;0;1254;123;378;891;308;231
08 4 16;Tübingen;115742;56480;519;55961;13370;25121;0;4368;9707;65;444;0;1269;100;309;615;424;169
08 4 17;Zollernalbkreis;126852;52501;587;51914;12200;30298;0;3239;3929;94;302;0;575;93;276;545;196;167
08 4 21;Ulm, Universitätsstadt;70319;34783;368;34415;10866;15747;0;2359;3678;42;188;0;536;68;190;501;134;106
08 4 25;Alb-Donau-Kreis;116721;54836;808;54028;11946;32400;0;2995;4501;80;410;0;549;60;235;580;126;146
08 4 26;Biberach;112087;54883;980;53903;7610;36789;0;2628;4303;77;679;0;540;97;286;564;178;152
08 4 35;Bodenseekreis;122392;57238;733;56505;11289;33071;0;3961;5212;80;611;0;619;128;316;454;562;202
08 4 36;Ravensburg;165888;76578;1165;75413;11917;48121;0;4187;6701;103;1589;0;908;166;381;601;467;272
08 4 37;Sigmaringen;81079;36127;524;35603;5553;23838;0;1920;2673;38;423;0;349;62;203;335;112;97
908;Baden-Württemberg;6641082;3203522;42363;3161159;862969;1609773;0;224179;319575;4581;16873;0;43380;5748;15387;35555;13718;9421

09 1 61;Ingolstadt, Stadt;68675;28299;357;27942;8088;0;16227;1007;1535;37;80;151;232;41;85;254;135;70
09 1 62;München, Landeshauptstadt;819393;362626;3347;359279;125718;0;158405;18503;38254;527;1141;2623;5836;572;1302;3175;2198;1025
09 1 63;Rosenheim, Stadt;37001;16414;284;16130;4557;0;8773;607;1154;23;64;304;164;27;84;161;158;54
09 1 71;Altötting;71758;34983;533;34450;7209;0;23185;986;1649;30;168;276;276;47;123;244;132;125
09 1 72;Berchtesgadener Land;68678;31893;469;31424;6135;0;20539;1245;1898;36;176;290;274;53;112;350;190;126
09 1 73;Bad Tölz-Wolfratshausen;72864;33813;469;33344;6665;0;20918;1723;2340;42;95;406;349;60;122;295;241;88
09 1 74;Dachau;74233;32919;435;32484;7949;0;19884;1156;2123;44;108;273;267;45;134;261;120;120
09 1 75;Ebersberg;69932;32694;463;32231;7738;0;18199;1809;2675;51;101;350;476;46;155;186;319;126
09 1 76;Eichstätt;70193;36226;447;35779;7735;0;24692;803;1478;34;99;177;230;42;101;175;142;71
09 1 77;Erding;64730;26819;395;26424;5540;0;16905;970;1756;37;79;286;288;21;120;152;180;90
09 1 78;Freising;81431;35359;445;34914;7872;0;20576;1396;2800;44;192;468;428;54;163;358;453;110
09 1 79;Fürstenfeldbruck;125961;56346;719;55627;15371;0;28591;3226;5323;94;164;440;970;125;303;356;430;234
09 1 80;Garmisch-Partenkirchen;60650;28021;448;27573;4054;0;19221;1411;1563;28;135;252;234;59;120;199;196;101
09 1 81;Landsberg a. Lech;60291;25781;355;25426;5216;0;15853;1150;1928;28;169;217;268;52;105;205;157;78
09 1 82;Miesbach;61111;28506;350;28156;6631;0;16951;1480;1735;26;119;285;279;40;106;193;218;93
09 1 83;Mühldorf a. Inn;69948;31233;494;30739;6214;0;20618;1021;1414;48;141;374;229;49;139;259;129;104
09 1 84;München;175692;86402;988;85414;23696;0;42039;6294;8422;112;216;711;1317;161;377;718;1058;293
09 1 85;Neuburg-Schrobenhausen;56569;24998;278;24720;5206;0;16989;718;927;30;79;192;195;36;92;139;65;52
09 1 86;Pfaffenhofen a.d. Ilm;64403;28647;270;28377;6322;0;18526;965;1484;33;93;210;215;112;113;135;79;90
09 1 87;Rosenheim;136793;61266;935;60331;12711;0;37734;2547;3807;69;277;924;614;81;278;439;644;206
09 1 88;Starnberg;80330;40632;386;40246;8228;0;21614;3809;4203;62;99;319;551;70;174;355;638;124
09 1 89;Traunstein;110778;51218;736;50482;10399;0;31808;1998;3304;59;258;904;521;69;201;494;299;168
09 1 90;Weilheim-Schongau;79698;35323;535;34788;9291;0;20470;1186;2291;49;136;279;342;49;103;295;200;97
09 2 61;Landshut, Stadt;43082;19807;312;19495;5143;0;11188;798;1223;18;85;170;273;29;107;282;100;79
09 2 62;Passau, Stadt;36441;15791;224;15567;3981;0;9576;532;867;14;61;87;101;13;54;140;95;46
09 2 63;Straubing, Stadt;31930;11832;190;11642;2984;0;7287;347;560;10;79;69;89;18;43;105;31;20
09 2 71;Deggendorf;76765;29320;463;28857;6013;0;19589;763;1309;27;83;216;199;25;110;228;225;70
09 2 72;Freyung-Grafenau;57353;17532;202;17330;4190;0;11334;362;793;12;49;193;82;16;73;118;62;46
09 2 73;Kelheim;67418;30459;415;30044;7533;0;19110;817;1373;26;104;204;234;20;103;330;118;72
09 2 74;Landshut;84681;36287;583;35704;7006;0;23988;1353;1742;48;181;312;286;43;161;310;138;136
09 2 75;Passau;120519;42973;728;42245;10288;0;26990;1201;2196;49;144;297;217;45;140;333;223;122
09 2 76;Regen;59307;18235;267;17968;4885;0;10972;459;989;24;44;170;114;12;49;139;67;44
09 2 77;Rottal-Inn;80231;27430;544;26886;4996;0;18199;1049;1199;46;118;454;204;45;104;275;119;78
09 2 78;Straubing-Bogen;61009;24741;441;24300;4017;0;17631;788;914;15;101;244;145;33;85;163;98;66
09 2 79;Dingolfing-Landau;57349;25034;361;24673;6049;0;16013;578;1056;32;69;209;192;18;92;236;71;58
09 3 61;Amberg, Stadt;33572;17028;220;16808;4774;0;9791;424;1185;19;74;71;139;18;55;143;83;32
09 3 62;Regensburg, Stadt;92018;41581;481;41100;11059;0;23564;1421;3191;39;204;246;375;76;155;305;356;109
09 3 63;Weiden i.d. OPf., Stadt;33726;17022;255;16767;5269;0;9388;443;1079;15;75;56;103;27;49;117;109;37
09 3 71;Amberg-Sulzbach;72707;37064;541;36523;10174;0;22155;1016;2035;37;127;201;201;19;106;248;123;81
09 3 72;Cham;91881;33077;566;32511;6559;0;22086;775;1762;38;136;273;270;37;117;208;157;93
09 3 73;Neumarkt i.d. OPf.;76551;39518;574;38944;6568;0;27980;944;1989;31;137;229;272;41;138;345;132;138
09 3 74;Neustadt a.d. Waldnaab;70224;36802;483;36319;10923;0;21912;917;1642;36;101;161;133;30;99;184;126;55
09 3 75;Regensburg;106507;48817;705;48112;11766;0;30275;1293;2674;49;177;378;333;62;193;283;485;144
09 3 76;Schwandorf;102278;49364;733;48631;15198;0;27983;869;2484;45;172;318;254;47;163;248;744;106
09 3 77;Tirschenreuth;61074;33361;580;32781;9358;0;20346;779;1379;28;105;153;135;26;66;207;111;88
09 4 61;Bamberg, Stadt;54159;27885;387;27498;7007;0;16623;981;1681;19;82;146;417;39;90;240;110;63
09 4 62;Bayreuth, Stadt;53389;24807;339;24468;8376;0;12062;1170;1787;23;59;81;268;42;97;295;124;84
09 4 63;Coburg, Stadt;33846;17647;213;17434;6651;0;8173;883;997;15;15;38;168;30;70;272;79;43
09 4 64;Hof, Stadt;40920;17135;313;16822;6239;0;8295;580;926;7;37;52;222;18;55;266;66;59
09 4 71;Bamberg;88121;45274;701;44573;8818;0;31468;1049;1677;34;137;301;329;49;180;317;106;108
09 4 72;Bayreuth;75727;34704;580;34124;11049;0;19185;966;1750;21;87;160;230;23;108;309;134;102
09 4 73;Coburg;64785;33858;412;33446;14113;0;15846;1150;1370;20;29;85;164;17;107;412;67;66
09 4 74;Forchheim;71699;34953;500;34453;7329;0;22299;1276;2129;36;178;204;302;34;113;336;106;111
09 4 75;Hof;86651;40938;736;40202;16634;0;19022;1028;2189;29;77;126;275;33;115;417;125;132
09 4 76;Kronach;60468;31904;487;31417;11930;0;17132;572;1118;19;40;68;130;22;68;235;35;48
09 4 77;Kulmbach;58508;28588;380;28208;10733;0;13983;765;1666;20;55;98;179;23;85;428;101;72
09 4 78;Lichtenfels;51256;25786;383;25403;6822;0;16383;591;905;21;69;92;131;20;80;191;49;49
09 4 79;Wunsiedel i. Fichtelgebirge;73169;36270;644;35626;15804;0;16056;823;1829;43;35;112;208;30;120;334;139;93
09 5 61;Ansbach, Stadt;29080;14367;216;14151;4486;0;7025;692;1184;13;34;34;173;22;44;187;206;51
09 5 62;Erlangen, Stadt;69251;34088;412;33676;11025;0;14613;2359;3970;53;72;69;657;63;171;304;217;103
09 5 63;Fürth, Stadt;72660;34268;542;33726;14563;0;13797;1333;2469;42;33;85;543;39;111;464;130;117
09 5 64;Nürnberg, Stadt;351605;175642;2320;173322;67034;0;75188;6498;15648;201;255;409;2825;242;622;2483;1111;806
09 5 65;Schwabach, Stadt;25899;12672;166;12506;4342;0;6027;640;941;9;33;37;202;6;43;128;48;50
09 5 71;Ansbach;118465;55340;826;54514;12059;0;33172;2724;3846;60;233;173;531;71;211;851;413;170
09 5 72;Erlangen-Höchstadt;75590;36902;508;36394;10758;0;19410;1836;2952;41;65;105;369;51;172;325;175;135
09 5 73;Fürth;71490;36454;456;35998;12725;0;17258;1534;2855;27;75;98;494;44;125;438;162;163
09 5 74;Nürnberger Land;111892;53922;688;53234;17962;0;26205;2186;4290;66;101;186;682;76;201;673;290;316
09 5 75;Neustadt a.d. Aisch-Bad Windsheim;66552;30536;490;30046;7014;0;17775;1600;2113;45;84;108;331;41;142;457;224;112
09 5 76;Roth;76386;37487;642;36845;10402;0;21132;1292;2540;39;73;140;341;46;149;335;163;193
09 5 77;Weißenburg-Gunzenhausen;65971;30151;493;29658;7727;0;18077;926;1829;18;76;87;336;24;118;255;95;90
09 6 61;Aschaffenburg, Stadt;45776;21423;379;21044;6436;0;11637;675;1496;21;68;62;235;27;87;202;59;39
09 6 62;Schweinfurt, Stadt;41289;22830;325;22505;9068;0;10411;753;1279;17;31;58;294;24;86;326;107;51
09 6 63;Würzburg, Stadt;91189;47203;565;46638;13894;0;24547;2287;3741;51;184;172;575;89;213;412;354;119
09 6 71;Aschaffenburg;112867;52792;927;51865;14259;0;31009;1397;3418;50;183;169;455;80;219;357;157;112
09 6 72;Bad Kissingen;77818;41423;564;40859;7514;0;28492;1571;1857;31;117;184;324;84;156;308;113;108
09 6 73;Rhön-Grabfeld;59338;30780;384;30396;5629;0;21375;956;1503;26;81;107;214;31;137;196;87;54
09 6 74;Haßberge;61324;32057;446;31611;8051;0;19682;1457;1412;19;86;120;224;30;128;229;90;83
09 6 75;Kitzingen;60888;28843;371;28472;7088;0;16865;1318;1501;23;79;91;259;42;144;665;314;83
09 6 76;Miltenberg;81538;41328;640;40688;10554;0;24641;1350;2549;44;255;124;378;43;159;393;122;76
09 6 77;Main-Spessart;92494;48024;903;47121;11836;0;29264;1614;2518;33;198;190;435;50;200;344;295;144
09 6 78;Schweinfurt;79979;44764;560;44204;9449;0;29715;1280;2302;34;106;157;338;46;159;352;187;79
09 6 79;Würzburg;103267;55738;793;54945;15777;0;31863;1858;3292;54;163;165;536;63;262;481;291;140
09 7 61;Augsburg, Stadt;177483;78340;1007;77333;27077;0;38297;2728;5394;73;369;542;738;132;374;1045;303;261
09 7 62;Kaufbeuren, Stadt;30346;14255;172;14083;3298;0;8443;716;777;14;90;108;161;24;69;273;68;42
09 7 63;Kempten (Allgäu), Stadt;44691;20032;298;19734;5770;0;10411;992;1427;37;133;134;242;44;112;185;171;76
09 7 64;Memmingen, Stadt;28643;12951;205;12746;3795;0;6641;595;944;17;69;79;198;22;59;198;65;64
09 7 71;Aichach-Friedberg;73464;32662;414;32248;6397;0;21587;1081;1993;29;97;208;202;34;130;267;124;99
09 7 72;Augsburg;139187;61145;776;60369;14704;0;36798;2299;3822;66;306;432;537;77;319;533;313;163
09 7 73;Dillingen a.d. Donau;59664;25558;348;25210;5543;0;16400;1055;1189;20;101;186;232;28;107;175;122;52
09 7 74;Günzburg;77392;30115;425;29690;7070;0;18685;972;1583;25;234;159;227;32;148;345;124;86
09 7 75;Neu-Ulm;101891;42590;514;42076;11697;0;22922;2066;3371;74;218;185;470;92;240;465;147;129
09 7 76;Lindau (Bodensee);52075;23450;386;23064;4612;0;14072;1210;1842;37;259;161;338;58;129;170;119;57
09 7 77;Ostallgäu;84653;36094;532;35562;6349;0;23503;1552;2168;48;284;478;310;62;170;285;243;110
09 7 78;Unterallgäu;86186;38341;680;37661;5444;0;26691;1428;1903;44;317;277;338;64;167;631;212;145
09 7 79;Donau-Ries;88124;39474;552;38922;9483;0;24851;1324;1947;32;125;177;312;42;156;264;142;67
09 7 80;Oberallgäu;95817;43911;550;43361;8128;0;28048;1907;2948;60;279;298;525;97;247;283;369;172
909;Bayern;8092657;3741194;51556;3689638;1017802;0;2109130;145833;250541;4101;13081;23539;38510;5133;14648;34681;21327;11312

10 0 41;Stadtverband Saarbrücken;284720;212485;6952;205533;93529;81615;0;9427;14039;245;599;0;2686;327;720;1268;682;396
10 0 42;Merzig-Wadern;78632;65933;3593;62340;25051;28493;0;2604;3727;76;326;0;684;95;274;332;537;141
10 0 43;Neunkirchen;121357;93437;3592;89845;43563;34958;0;2886;5645;125;263;0;1071;137;298;503;243;153
10 0 44;Saarlouis;164337;131028;5151;125877;51630;57200;0;4628;8071;175;575;0;1437;179;499;766;484;233
10 0 45;Saarpfalz-Kreis;120719;96020;4291;91729;38406;39377;0;3649;6875;114;332;0;1196;136;403;798;177;266
10 0 46;Sankt Wendel;73892;62428;2769;59659;24469;28792;0;1493;3449;51;172;0;525;55;193;264;107;89
910;Saarland;843657;661331;26348;634983;276648;270435;0;24687;41806;786;2267;0;7599;929;2387;3931;2230;1278

999;Bundesgebiet ohne Berlin;44465989;25238754;387383;24851371;9296417;9308411;2109130;1192624;2025972;30874;93921;23539;313108;34500;94463;198633;77026;52753
