# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
03 4 03;Oldenburg (Oldenburg), Stadt;106799;61099;498;60601;25145;20087;0;4242;7727;79;166;0;1934;119;301;533;166;102
03 4 04;Osnabrück, Stadt;115385;70793;622;70171;28585;29275;0;3271;6316;81;544;0;894;104;311;541;132;117
03 4 05;Wilhelmshaven, Stadt;73714;41892;459;41433;20144;14209;0;1731;3915;63;74;0;547;99;221;293;65;72
03 4 51;Ammerland;70354;37559;480;37079;15013;13838;0;3436;3569;50;53;0;466;61;176;282;79;56
03 4 52;Aurich;128064;76885;1462;75423;42309;22471;0;2620;5820;81;110;0;1037;76;268;395;110;126
03 4 53;Cloppenburg;83236;53765;931;52834;9747;36377;0;1546;3541;65;505;0;387;75;228;205;81;77
03 4 54;Emsland;179456;114335;1396;112939;24581;74097;0;3017;7469;139;1445;0;906;122;548;300;182;133
03 4 55;Friesland;73249;41409;617;40792;19113;13634;0;2619;3734;61;73;0;839;70;209;296;72;72
03 4 56;Grafschaft Bentheim;84396;53877;516;53361;20373;25742;0;2237;3529;70;237;0;540;62;184;253;81;53
03 4 57;Leer;108559;63163;972;62191;31743;21662;0;2254;4666;74;190;0;734;76;275;329;91;97
03 4 58;Oldenburg;74446;43243;438;42805;15921;17283;0;3901;4241;67;81;0;527;82;226;302;99;75
03 4 59;Osnabrück;219350;143446;1776;141670;49693;70592;0;5924;10720;167;1215;0;1317;170;707;724;242;199
03 4 60;Vechta;71136;47477;734;46743;7391;32994;0;1843;2820;54;698;0;402;55;195;154;73;64
03 4 61;Wesermarsch;70703;39709;508;39201;19771;11947;0;2657;3499;54;60;0;591;65;212;221;59;65
03 4 62;Wittmund;39799;20134;254;19880;8539;8141;0;1013;1605;35;21;0;197;25;107;122;37;38
903;Niedersachsen;5524223;3371899;38214;3333685;1350434;1434170;0;163550;274790;4780;10576;0;35451;4928;14769;24735;10199;5303

04 0 11;Bremen, Stadt;422143;238314;2353;235961;112340;73610;0;10799;28056;294;454;0;6524;387;867;1854;418;358
04 0 12;Bremerhaven, Stadt;100352;49688;586;49102;24576;14813;0;2040;5787;111;80;0;873;89;192;348;92;101
904;Bremen;522495;288002;2939;285063;136916;88423;0;12839;33843;405;534;0;7397;476;1059;2202;510;459

05 1 11;Düsseldorf, Stadt;436175;246569;2254;244315;96335;101187;0;13474;23306;319;1112;0;4701;359;773;1712;525;512
05 1 12;Duisburg, Stadt;402236;216231;1918;214313;123162;64066;0;5400;15206;226;756;0;2954;180;510;1344;189;320
05 1 13;Essen, Stadt;503762;277818;2294;275524;137190;97639;0;9412;21398;178;1349;0;5373;333;625;1343;319;365
05 1 14;Krefeld, Stadt;172250;92878;879;91999;36321;39737;0;4668;8067;71;533;0;1199;152;276;625;170;180
05 1 16;Mönchengladbach, Stadt;193520;102221;1111;101110;35573;49223;0;4853;8176;111;534;0;1215;126;304;605;169;221
05 1 17;Mülheim a.d. Ruhr, Stadt;142229;83709;684;83025;42251;27707;0;3313;7042;76;231;0;1381;61;219;488;141;115
05 1 19;Oberhausen, Stadt;173961;94239;778;93461;52798;29560;0;2110;6247;74;401;0;1170;78;249;520;105;149
05 1 20;Remscheid, Stadt;90133;49095;471;48624;20651;20207;0;2449;3600;47;105;0;731;72;132;439;79;112
05 1 22;Solingen, Stadt;121265;68073;641;67432;27182;27831;0;3912;6105;97;241;0;1161;67;159;465;97;115
05 1 24;Wuppertal, Stadt;285770;160148;1374;158774;67629;59878;0;9519;16167;147;600;0;2462;245;430;1189;242;266
05 1 54;Kleve;188929;113633;1758;111875;33181;64473;0;3972;7149;95;690;0;1035;120;298;401;307;154
05 1 58;Mettmann;355159;206262;1992;204270;82039;85400;0;11543;18147;176;850;0;2889;285;698;1478;406;359
05 1 62;Neuss;297883;176305;2059;174246;59539;85691;0;8497;13896;179;1477;0;2351;225;541;1174;382;294
05 1 66;Viersen;195915;111155;1499;109656;36504;56097;0;5314;8331;115;657;0;1137;128;370;573;186;244
05 1 70;Wesel;317929;181196;1994;179202;85330;68187;0;7317;13313;146;709;0;1938;162;572;971;248;309
05 3 13;Aachen, Stadt;161296;99737;1186;98551;34415;46298;0;3896;10300;87;341;0;1871;111;236;550;293;153
05 3 14;Bonn, Stadt;204007;128108;1286;126822;34705;62035;0;10973;14155;141;717;0;1943;292;433;733;492;203
05 3 15;Köln, Stadt;669440;364501;3702;360799;152811;139009;0;17037;37920;382;1222;0;6533;526;936;2850;916;657
05 3 16;Leverkusen, Stadt;118814;69008;709;68299;29233;27855;0;3264;5779;89;218;0;798;89;211;530;127;106
05 3 54;Aachen;215921;136187;2384;133803;58192;59583;0;3743;8571;135;387;0;1482;125;347;795;230;213
