Land;District;Name;Eligible Voters;Voters;Invalid;Valid;CDU;GRÜNE;SPD;AFD;CSU;DIE LINKE;FDP;Die PARTEI;FREIE WÄHLER;Tierschutzpartei;ÖDP;FAMILIE;VOLT;PIRATEN;MERA25;HEIMAT;TIERSCHUTZ hier!;PARTEI FÜR DIE TIERE;BP;Graue Panther;Die Grauen;Verjüngungsforschung;BIG;Tierschutzallienz;Bündnis C;Die Humanisten;Volksabstimmung;DIE FRAUEN;LKR;BGE;ÖkoLinX;MENSCHLICHE WELT;LIEBE;DIE VIOLETTEN;DIE DIREKTE!;DIE RECHTE;DKP;MLPD;NL;III. Weg;SGP
HE;06631;Fulda;169880;97074;1004;96070;36798;16882;10911;12312;0;2896;6246;2045;1620;1208;853;589;405;459;174;238;216;171;131;155;138;153;48;117;227;139;166;121;105;71;57;87;69;79;44;40;19;10;38;22;11
HE;06632;Hersfeld-Rotenburg;93123;51375;671;50704;13211;7649;13717;6717;0;1786;2670;816;959;666;253;285;150;249;66;194;156;124;51;76;76;77;25;82;182;34;78;53;47;38;14;40;44;24;29;28;7;8;8;10;5
HE;06633;Kassel;188527;106538;1478;105060;24050;21314;30061;10021;0;4214;5346;1812;1732;1586;376;568;418;563;186;148;310;236;64;187;165;148;78;166;131;118;189;108;116;93;64;93;83;85;59;39;17;46;31;21;18
HE;06634;Schwalm-Eder-Kreis;142375;79752;1114;78638;18398;14746;20751;8703;0;2550;4574;1490;2511;1182;268;440;252;427;105;182;225;181;61;117;118;146;36;104;171;83;152;96;75;64;34;64;79;52;33;72;29;14;26;10;17
HE;06635;Waldeck-Frankenberg;122990;64235;627;63608;18496;12282;13981;6481;0;2063;4287;1031;1188;898;266;348;199;293;114;130;156;113;52;87;95;91;30;104;124;80;117;86;65;49;36;51;53;44;23;27;29;10;11;11;7
HE;06636;Werra-Meißner-Kreis;80896;45003;656;44347;11238;7787;11663;4720;0;1853;2272;800;1241;635;240;217;155;173;116;77;116;96;29;49;46;70;11;70;55;50;81;66;48;59;72;38;47;32;40;12;29;13;7;11;13
RP;07111;Koblenz, Stadt;83969;51017;542;50475;14599;12104;9024;3736;0;1997;2842;1793;1261;535;295;195;417;356;185;35;79;76;50;71;29;41;31;81;52;112;46;69;64;37;55;39;34;36;22;11;7;11;29;7;12
RP;07131;Ahrweiler;101203;66724;883;65841;24456;11930;10771;5224;0;1709;4508;1160;1885;889;428;343;341;350;130;109;150;156;98;119;79;71;89;107;52;78;91;80;92;57;36;37;40;50;28;43;13;8;17;10;7
RP;07132;Altenkirchen (Westerwald);100084;60892;954;59938;21118;8148;13102;5820;0;1853;3693;924;1310;863;335;448;168;286;95;100;183;136;68;89;81;54;39;95;259;69;138;47;70;53;34;43;47;35;28;18;21;17;24;18;9
RP;07133;Bad Kreuznach;120062;76655;1389;75266;22504;11872;17855;7705;0;2336;4827;1185;1823;1224;417;510;329;410;137;102;223;199;91;118;98;110;83;130;118;92;127;82;81;80;50;61;65;64;37;36;24;9;19;23;10
RP;07134;Birkenfeld;63925;37437;846;36591;11168;4237;9765;3964;0;1169;2421;579;745;602;157;285;120;216;49;73;140;97;48;76;59;68;7;76;37;35;81;46;42;22;25;34;47;20;22;15;10;5;8;10;11
RP;07135;Cochem-Zell;48692;33505;784;32721;13925;4131;6153;2504;0;717;2108;516;769;435;146;223;122;154;32;47;73;63;34;53;29;46;7;62;44;28;49;40;36;26;16;28;27;21;14;16;7;4;12;1;3
RP;07137;Mayen-Koblenz;166494;103595;1666;101929;36737;16503;20891;8675;0;2578;5955;2035;2598;1400;441;554;414;587;156;124;218;214;102;160;103;95;66;187;149;101;165;110;108;59;53;68;79;71;49;43;15;9;33;15;9
RP;07138;Neuwied;138233;85529;1172;84357;27819;14067;17879;7703;0;2604;5113;1527;2054;1302;329;519;402;448;148;119;225;221;93;156;116;108;80;156;250;106;157;95;72;80;39;63;66;81;48;37;13;9;24;25;4
RP;07140;Rhein-Hunsrück-Kreis;80638;54996;1040;53956;18684;7526;11858;4763;0;1553;3751;909;1475;804;342;294;196;306;83;70;133;122;36;113;71;75;31;106;100;70;72;70;47;46;19;58;52;27;27;23;9;9;14;9;3
RP;07141;Rhein-Lahn-Kreis;94896;62471;1132;61339;17516;9513;15515;5778;0;1792;3608;1301;2249;1008;226;445;221;332;118;113;179;160;80;96;82;94;33;124;65;75;97;69;64;52;34;57;53;60;30;35;17;11;19;13;5
RP;07143;Westerwaldkreis;154465;100878;1719;99159;36475;14422;18474;9443;0;2837;6458;1770;2899;1540;434;636;353;525;139;166;296;255;107;161;123;122;118;185;201;101;157;120;102;83;46;68;82;75;35;38;17;16;37;39;4
RP;07211;Trier, Stadt;80431;48513;495;48018;11402;12327;10828;3223;0;2432;2416;1756;517;590;325;143;386;319;229;48;79;75;24;60;40;37;30;74;38;155;60;51;53;45;51;31;31;26;21;15;36;11;25;1;8
RP;07231;Bernkastel-Wittlich;86098;56022;1166;54856;20367;7377;11559;4197;0;1522;3691;837;1741;785;449;374;171;236;78;76;165;144;42;100;66;82;75;97;40;48;124;78;43;42;21;38;66;33;17;25;10;7;15;15;3
RP;07232;Eifelkreis Bitburg-Prüm;72189;50043;1222;48821;18773;6823;10433;3355;0;1252;2872;642;1767;714;284;318;164;195;51;62;135;119;39;74;60;83;12;85;43;39;94;55;41;26;21;47;41;31;14;14;8;7;9;9;10
RP;07233;Vulkaneifel;47996;30759;673;30086;12511;3897;5869;2180;0;862;1895;453;658;431;185;185;108;128;32;36;92;77;19;44;30;47;8;52;18;20;46;23;22;25;12;27;27;23;13;11;6;3;3;6;2
RP;07235;Trier-Saarburg;112648;79057;1456;77601;26435;11493;20642;5364;0;2158;3493;1168;2566;1019;277;410;252;345;98;112;186;186;66;130;77;110;31;154;56;80;122;76;73;62;41;69;66;39;36;34;27;9;20;13;6
RP;07311;Frankenthal (Pfalz), Stadt;33348;19034;339;18695;5987;2862;3656;2532;0;660;990;317;458;252;59;128;88;112;27;35;47;36;22;26;16;19;53;35;57;26;34;30;21;19;12;9;14;11;8;7;4;5;7;12;2
RP;07312;Kaiserslautern, Stadt;71365;38987;556;38431;8614;7567;8256;4622;0;1671;2148;1420;896;637;206;228;334;408;132;77;124;91;42;71;50;71;27;72;64;129;66;57;45;39;31;35;22;46;18;30;12;7;9;49;8
RP;07313;Landau in der Pfalz, Stadt;36257;24124;268;23856;6078;6626;4126;1881;0;993;1098;790;537;355;143;125;192;120;94;31;59;58;18;29;42;35;16;43;56;52;36;33;30;24;15;36;22;11;6;5;18;5;8;9;1
RP;07314;Ludwigshafen am Rhein, Stadt;102451;55399;1145;54254;12921;8989;12702;7684;0;2151;2730;1212;1176;868;208;314;322;446;134;158;131;154;52;115;97;80;597;102;92;86;104;71;123;59;34;63;46;42;33;36;12;34;15;37;24
RP;07315;Mainz, Stadt;150251;102415;898;101517;23371;29557;18047;5966;0;4528;5429;3993;1061;995;2019;273;1924;1072;645;48;134;126;82;124;74;89;485;94;94;365;80;100;100;105;128;59;44;56;50;26;44;35;74;13;8
RP;07316;Neustadt an der Weinstraße, Stadt;40621;26537;318;26219;7822;5350;4433;2611;0;665;1555;536;1509;269;159;141;193;147;60;38;67;65;22;42;31;31;14;50;85;35;34;23;44;33;23;23;26;16;12;13;9;2;13;15;3
RP;07317;Pirmasens, Stadt;30963;15433;375;15058;4945;1414;3352;2245;0;517;779;403;293;279;46;84;29;94;15;119;51;80;22;32;17;31;5;39;19;21;29;14;18;7;5;11;17;8;3;2;1;3;2;3;4
RP;07318;Speyer, Stadt;36237;21948;274;21674;5842;4784;4532;2278;0;802;1039;516;312;326;130;113;162;109;57;22;55;53;19;49;37;33;12;43;69;34;18;37;30;30;25;16;24;14;11;18;5;3;9;6;0
RP;07319;Worms, Stadt;58080;32205;544;31661;8878;5302;7316;3942;0;890;1611;681;767;507;140;183;198;188;69;63;84;78;41;51;44;53;41;80;42;55;64;49;40;37;19;36;34;22;10;19;8;6;6;6;1
RP;07320;Zweibrücken, Stadt;25997;13706;230;13476;3599;1864;3533;1583;0;541;627;327;368;259;80;85;70;97;20;35;47;45;14;21;24;20;3;37;10;22;26;16;10;18;7;7;25;5;6;13;3;1;4;2;2
RP;07331;Alzey-Worms;98159;66606;1238;65368;17458;9925;15784;8168;0;1679;4101;1112;2114;1069;399;484;303;416;135;190;234;223;91;108;79;136;60;144;133;84;139;93;82;59;42;46;74;46;28;51;16;13;25;21;4
RP;07332;Bad Dürkheim;104795;73282;1087;72195;21501;11909;14734;8223;0;1755;4598;1174;3102;1104;310;460;582;368;125;143;236;202;57;121;93;126;88;162;153;110;125;84;97;72;39;60;64;45;29;37;9;10;26;59;3
RP;07333;Donnersbergkreis;58275;38700;755;37945;9733;4925;9652;4742;0;1148;2183;608;1833;730;181;314;126;258;54;150;135;134;62;95;69;67;54;86;68;47;108;73;37;48;33;47;39;29;26;25;2;3;5;12;4
RP;07334;Germersheim;94398;62054;1065;60989;19420;8534;11665;8686;0;1532;3632;1160;1932;1040;361;400;258;320;109;142;187;167;63;82;75;116;129;131;79;90;139;86;69;56;27;72;65;33;26;34;13;18;15;24;2
RP;07335;Kaiserslautern;81200;54712;1293;53419;16430;6370;12224;6906;0;1659;2379;904;2654;1046;176;400;191;319;35;160;175;174;56;107;69;107;13;153;113;62;99;86;41;46;15;55;57;33;15;24;6;6;14;36;4
RP;07336;Kusel;56613;37705;958;36747;9392;4082;10245;4989;0;1287;1606;670;1789;731;120;331;111;187;20;134;128;127;32;70;61;64;6;96;46;37;75;51;26;25;20;30;47;17;19;22;7;9;10;22;6
RP;07337;Südliche Weinstraße;87144;62279;1194;61085;20583;10081;11558;6541;0;1473;3370;999;2341;934;272;395;274;277;112;114;212;188;59;94;91;97;15;132;96;78;131;96;66;62;48;53;68;48;21;28;21;9;20;22;6
